Protein,MC4_Rank,MCT_Rank
TGRH88_038370,303,213
TGRH88_049500,304,248
TGRH88_057870,305,334
TGRH88_057230,306,306
TGRH88_062170,307,348
TGRH88_020770,308,363
TGRH88_007350,309,528
TGRH88_024870,310,308
TGRH88_057520,311,282
TGRH88_015150,312,320
TGRH88_038160,313,272
TGRH88_034850,314,418
TGRH88_050640,315,336
TGRH88_063590,316,227
TGRH88_021060,317,288
TGRH88_022900,318,252
TGRH88_064800,319,278
TGRH88_057150,320,410
TGRH88_023070,321,478
TGRH88_068420,322,287
TGRH88_064880,323,242
TGRH88_067930,324,427
TGRH88_025390,325,413
TGRH88_018800,326,375
TGRH88_061050,327,434
TGRH88_063220,328,304
TGRH88_040910,329,383
TGRH88_046910,330,552
TGRH88_046840,331,322
TGRH88_008540,332,291
TGRH88_069820,333,245
TGRH88_038960,334,358
TGRH88_012940,335,270
TGRH88_003600,336,391
TGRH88_060720,337,452
TGRH88_005880,338,370
TGRH88_027890,339,392
TGRH88_079410,340,361
TGRH88_041430,341,352
TGRH88_059790,342,385
TGRH88_055970,343,428
TGRH88_034840,344,514
TGRH88_018870,345,321
TGRH88_050300,346,340
TGRH88_044090,347,461
TGRH88_004990,348,294
TGRH88_062710,349,366
TGRH88_048960,350,408
TGRH88_002140,351,573
TGRH88_010160,352,296
TGRH88_017920,353,390
TGRH88_076300,354,414
TGRH88_073880,355,411
TGRH88_033260,356,273
TGRH88_068510,357,324
TGRH88_025660,358,511
TGRH88_031180,359,298
TGRH88_039670,360,367
TGRH88_065850,361,315
TGRH88_040860,362,549
TGRH88_001180,363,355
TGRH88_077440,364,319
TGRH88_068760,365,424
TGRH88_039600,366,302
TGRH88_063980,367,376
TGRH88_043060,368,275
TGRH88_048810,369,362
TGRH88_073840,370,276
TGRH88_065100,371,290
TGRH88_074150,372,451
TGRH88_073490,373,356
TGRH88_022610,374,439
TGRH88_079070,375,388
TGRH88_059300,376,474
TGRH88_040700,377,398
TGRH88_000360,378,509
TGRH88_078760,379,353
TGRH88_004290,380,409
TGRH88_072740,381,437
TGRH88_073560,382,303
TGRH88_076170,383,450
TGRH88_019200,384,479
TGRH88_078740,385,351
TGRH88_005800,386,301
TGRH88_076000,387,396
TGRH88_049030,388,486
TGRH88_065760,389,313
TGRH88_065410,390,488
TGRH88_054630,391,300
TGRH88_073960,392,446
TGRH88_082460,393,454
TGRH88_079370,394,310
TGRH88_029400,395,386
TGRH88_002700,396,485
TGRH88_053090,397,403
TGRH88_061740,398,442
TGRH88_024520,399,387
TGRH88_055060,400,477
TGRH88_025700,401,342
TGRH88_019490,402,365
TGRH88_038790,403,524
TGRH88_012900,404,364
TGRH88_011650,405,332
TGRH88_083190,406,460
TGRH88_083130,407,430
TGRH88_062940,408,314
TGRH88_042750,409,395
TGRH88_074940,410,400
TGRH88_059310,411,470
TGRH88_033050,412,311
TGRH88_018720,413,560
TGRH88_017190,414,316
TGRH88_060980,415,377
TGRH88_024720,416,323
TGRH88_071080,417,380
TGRH88_029790,418,405
TGRH88_009450,419,659
TGRH88_068170,420,523
TGRH88_049630,421,531
TGRH88_061300,422,422
TGRH88_063030,423,330
TGRH88_026220,424,571
TGRH88_082160,425,544
TGRH88_071390,426,312
TGRH88_009640,427,613
TGRH88_034550,428,702
TGRH88_082060,429,297
TGRH88_030060,430,374
TGRH88_015160,431,344
TGRH88_011740,432,553
TGRH88_076440,433,368
TGRH88_031800,434,602
TGRH88_055180,435,354
TGRH88_046170,436,369
TGRH88_019140,437,519
TGRH88_063310,438,462
TGRH88_032690,439,594
TGRH88_009880,440,407
TGRH88_081940,441,481
TGRH88_047860,442,498
TGRH88_034250,443,703
TGRH88_016240,444,499
TGRH88_010520,445,404
TGRH88_016890,446,415
TGRH88_046330,447,341
TGRH88_063090,448,327
TGRH88_045410,449,438
TGRH88_080150,450,317
TGRH88_018810,451,600
TGRH88_051570,452,371
TGRH88_033680,453,379
TGRH88_036570,454,419
TGRH88_013890,455,583
TGRH88_083000,456,537
TGRH88_005100,457,346
TGRH88_035780,458,381
TGRH88_070320,459,335
TGRH88_005020,460,457
TGRH88_031410,461,657
TGRH88_038820,462,504
TGRH88_019280,463,443
TGRH88_051360,464,394
TGRH88_078480,465,426
TGRH88_070040,466,500
TGRH88_003160,467,554
TGRH88_017000,468,372
TGRH88_071410,469,459
TGRH88_056600,470,569
TGRH88_049720,471,357
TGRH88_029930,472,373
TGRH88_072200,473,570
TGRH88_030360,474,359
TGRH88_043240,475,674
TGRH88_020900,476,448
TGRH88_027020,477,551
TGRH88_069220,478,445
TGRH88_012780,479,406
TGRH88_011260,480,576
TGRH88_070790,481,468
TGRH88_077470,482,469
TGRH88_019550,483,425
TGRH88_003630,484,393
TGRH88_042590,485,490
TGRH88_045370,486,617
TGRH88_076140,487,417
TGRH88_033120,488,494
TGRH88_049760,489,440
TGRH88_018090,490,616
TGRH88_017950,491,591
TGRH88_054260,492,578
TGRH88_053930,493,397
TGRH88_041830,494,491
TGRH88_071560,495,585
TGRH88_010880,496,610
TGRH88_036470,497,506
TGRH88_054170,498,464
TGRH88_001360,499,497
TGRH88_047510,500,444
TGRH88_020490,501,473
TGRH88_036380,502,389
TGRH88_007740,503,401
TGRH88_071220,504,447
TGRH88_051290,505,483
TGRH88_056040,506,522
TGRH88_003420,507,564
TGRH88_046790,508,382
TGRH88_036910,509,712
TGRH88_047700,510,441
TGRH88_018370,511,399
TGRH88_052830,512,378
TGRH88_061780,513,513
TGRH88_024500,514,527
TGRH88_042470,515,565
TGRH88_002490,516,496
TGRH88_051340,517,533
TGRH88_017600,518,532
TGRH88_011230,519,432
TGRH88_004430,520,661
TGRH88_019300,521,505
TGRH88_035750,522,667
TGRH88_021080,523,484
TGRH88_058010,524,589
TGRH88_083200,525,402
TGRH88_022280,526,416
TGRH88_014520,527,541
TGRH88_011480,528,582
TGRH88_009090,529,482
TGRH88_072490,530,542
TGRH88_065440,531,603
TGRH88_026330,532,677
TGRH88_042760,533,455
TGRH88_037000,534,420
TGRH88_010390,535,492
TGRH88_042520,536,467
TGRH88_074110,537,466
TGRH88_063800,538,535
TGRH88_050280,539,436
TGRH88_047770,540,698
TGRH88_055910,541,503
TGRH88_053680,542,429
TGRH88_035730,543,608
TGRH88_034370,544,557
TGRH88_030930,545,692
TGRH88_019310,546,588
TGRH88_009220,547,606
TGRH88_012690,548,701
TGRH88_058240,549,456
TGRH88_078540,550,656
TGRH88_006960,551,558
TGRH88_021260,552,790
TGRH88_036880,553,463
TGRH88_061930,554,641
TGRH88_077030,555,658
TGRH88_079490,556,683
TGRH88_076120,557,421
TGRH88_034220,558,521
TGRH88_086540,559,592
TGRH88_044580,560,636
TGRH88_056220,561,626
TGRH88_040570,562,502
TGRH88_023550,563,471
TGRH88_027960,564,726
TGRH88_012840,565,685
TGRH88_000070,566,476
TGRH88_033380,567,475
TGRH88_012390,568,501
TGRH88_042850,569,563
TGRH88_047610,570,586
TGRH88_073450,571,605
TGRH88_012700,572,431
TGRH88_038110,573,458
TGRH88_060930,574,771
TGRH88_052210,575,465
TGRH88_017120,576,652
TGRH88_075800,577,507
TGRH88_073470,578,520
TGRH88_015950,579,525
TGRH88_061370,580,493
TGRH88_064780,581,727
TGRH88_069080,582,694
TGRH88_015130,583,756
TGRH88_039510,584,614
TGRH88_053330,585,530
TGRH88_071270,586,515
TGRH88_034960,587,705
TGRH88_008700,588,622
TGRH88_020990,589,453
TGRH88_064950,590,512
TGRH88_076270,591,815
TGRH88_020270,592,480
TGRH88_045810,593,518
TGRH88_037910,594,543
TGRH88_047500,595,487
TGRH88_007980,596,510
TGRH88_077710,597,546
TGRH88_005200,598,725
TGRH88_027260,599,615
TGRH88_067280,600,472
TGRH88_073290,601,655
TGRH88_049600,602,620
TGRH88_009760,603,630
TGRH88_010210,604,562
TGRH88_038660,605,844
TGRH88_067250,606,604
TGRH88_017230,607,719
TGRH88_054920,608,516
TGRH88_041050,609,700
TGRH88_061380,610,699
TGRH88_006760,611,874
TGRH88_079550,612,633
TGRH88_008100,613,765
TGRH88_059040,614,449
TGRH88_038580,615,860
TGRH88_055960,616,517
TGRH88_067040,617,828
TGRH88_061500,618,548
TGRH88_067440,619,536
TGRH88_081280,620,561
TGRH88_009840,621,769
TGRH88_022040,622,653
TGRH88_080380,623,789
TGRH88_039160,624,555
TGRH88_014310,625,695
TGRH88_065670,626,599
TGRH88_065240,627,593
TGRH88_042190,628,489
TGRH88_037620,629,559
TGRH88_021750,630,802
TGRH88_041390,631,556
TGRH88_038770,632,711
TGRH88_001610,633,618
TGRH88_076820,634,547
TGRH88_064770,635,832
TGRH88_028470,636,835
TGRH88_068940,637,580
TGRH88_019540,638,632
TGRH88_029940,639,666
TGRH88_041440,640,808
TGRH88_072980,641,662
TGRH88_036730,642,629
TGRH88_012510,643,579
TGRH88_054360,644,611
TGRH88_051920,645,624
TGRH88_049350,646,596
TGRH88_049900,647,572
TGRH88_020910,648,791
TGRH88_035340,649,609
TGRH88_074920,650,567
TGRH88_082180,651,851
TGRH88_048940,652,746
TGRH88_037930,653,647
TGRH88_036400,654,539
TGRH88_010530,655,607
TGRH88_010890,656,788
TGRH88_054390,657,526
TGRH88_052900,658,597
TGRH88_069890,659,785
TGRH88_037520,660,575
TGRH88_075420,661,495
TGRH88_034950,662,568
TGRH88_019810,663,754
TGRH88_031240,664,508
TGRH88_041820,665,646
TGRH88_036110,666,707
TGRH88_001120,667,538
TGRH88_081140,668,529
TGRH88_008050,669,950
TGRH88_067370,670,733
TGRH88_050920,671,645
TGRH88_030170,672,634
TGRH88_023100,673,545
TGRH88_052770,674,750
TGRH88_034980,675,577
TGRH88_006820,676,969
TGRH88_074910,677,875
TGRH88_056500,678,697
TGRH88_048420,679,623
TGRH88_005660,680,631
TGRH88_016440,681,744
TGRH88_078900,682,966
TGRH88_044860,683,858
TGRH88_047280,684,612
TGRH88_075920,685,857
TGRH88_006130,686,690
TGRH88_011400,687,786
TGRH88_061530,688,534
TGRH88_056250,689,638
TGRH88_005370,690,884
TGRH88_065920,691,766
TGRH88_003750,692,819
TGRH88_027150,693,540
TGRH88_049110,694,850
TGRH88_071620,695,590
TGRH88_079040,696,710
TGRH88_040330,697,678
TGRH88_019930,698,738
TGRH88_068310,699,773
TGRH88_067150,700,581
TGRH88_037080,701,755
TGRH88_020940,702,574
TGRH88_055070,703,566
TGRH88_021730,704,868
TGRH88_068120,705,720
TGRH88_002410,706,834
TGRH88_027780,707,687
TGRH88_029260,708,912
TGRH88_033100,709,663
TGRH88_049250,710,675
TGRH88_012300,711,856
TGRH88_066150,712,811
TGRH88_009530,713,873
TGRH88_022130,714,670
TGRH88_062620,715,930
TGRH88_021240,716,637
TGRH88_000940,717,897
TGRH88_006710,718,981
TGRH88_009680,719,798
TGRH88_077200,720,742
TGRH88_033820,721,550
TGRH88_039940,722,928
TGRH88_059880,723,824
TGRH88_029640,724,635
TGRH88_046200,725,722
TGRH88_005850,726,749
TGRH88_013620,727,643
TGRH88_038090,728,668
TGRH88_081210,729,648
TGRH88_009510,730,988
TGRH88_038650,731,978
TGRH88_059440,732,598
TGRH88_026650,733,601
TGRH88_016760,734,734
TGRH88_014380,735,676
TGRH88_009920,736,731
TGRH88_008820,737,831
TGRH88_000900,738,714
TGRH88_065500,739,805
TGRH88_021610,740,640
TGRH88_008940,741,747
TGRH88_040260,742,728
TGRH88_019590,743,1042
TGRH88_067240,744,628
TGRH88_060880,745,743
TGRH88_042120,746,1024
TGRH88_006460,747,737
TGRH88_005080,748,863
TGRH88_070130,749,587
TGRH88_071670,750,784
TGRH88_049010,751,924
TGRH88_061980,752,721
TGRH88_079870,753,671
TGRH88_030590,754,679
TGRH88_045450,755,664
TGRH88_049000,756,814
TGRH88_025870,757,905
TGRH88_063400,758,770
TGRH88_029290,759,1006
TGRH88_068090,760,960
TGRH88_060740,761,682
TGRH88_035310,762,800
TGRH88_021040,763,627
TGRH88_063260,764,872
TGRH88_004650,765,780
TGRH88_040440,766,651
TGRH88_081050,767,595
TGRH88_023630,768,817
TGRH88_006880,769,803
TGRH88_079750,770,650
TGRH88_075100,771,730
TGRH88_065460,772,825
TGRH88_058890,773,932
TGRH88_045230,774,673
TGRH88_020540,775,922
TGRH88_034580,776,660
TGRH88_034180,777,649
TGRH88_024210,778,621
TGRH88_045840,779,716
TGRH88_063860,780,732
TGRH88_049340,781,619
TGRH88_033740,782,1067
TGRH88_073550,783,1060
TGRH88_063740,784,584
TGRH88_009630,785,1154
TGRH88_082500,786,870
TGRH88_005720,787,951
TGRH88_008370,788,764
TGRH88_022110,789,878
TGRH88_067720,790,681
TGRH88_047100,791,864
TGRH88_067260,792,843
TGRH88_057200,793,917
TGRH88_063510,794,866
TGRH88_078800,795,881
TGRH88_055880,796,713
TGRH88_013930,797,696
TGRH88_007550,798,751
TGRH88_079080,799,989
TGRH88_038140,800,778
TGRH88_081010,801,654
TGRH88_053350,802,1058
TGRH88_071210,803,736
TGRH88_044290,804,729
TGRH88_007670,805,794
TGRH88_064020,806,639
TGRH88_019230,807,920
TGRH88_018750,808,715
TGRH88_069500,809,796
TGRH88_036220,810,982
TGRH88_064480,811,946
TGRH88_028420,812,684
TGRH88_043640,813,812
TGRH88_031810,814,1132
TGRH88_072450,815,758
TGRH88_007450,816,822
TGRH88_025570,817,826
TGRH88_020260,818,1151
TGRH88_028650,819,830
TGRH88_068140,820,899
TGRH88_076060,821,867
TGRH88_021940,822,680
TGRH88_014640,823,776
TGRH88_057000,824,665
TGRH88_087858,825,1075
TGRH88_052180,826,709
TGRH88_042810,827,959
TGRH88_042260,828,693
TGRH88_032590,829,845
TGRH88_014970,830,1030
TGRH88_006290,831,762
TGRH88_044700,832,689
TGRH88_076070,833,968
TGRH88_080510,834,686
TGRH88_081380,835,761
TGRH88_025080,836,973
TGRH88_041980,837,783
TGRH88_007560,838,723
TGRH88_009850,839,894
TGRH88_076620,840,717
TGRH88_031210,841,997
TGRH88_054800,842,841
TGRH88_028570,843,625
TGRH88_005950,844,996
TGRH88_058760,845,1035
TGRH88_007300,846,1045
TGRH88_039620,847,669
TGRH88_009490,848,1122
TGRH88_031380,849,672
TGRH88_075450,850,962
TGRH88_021560,851,806
TGRH88_054770,852,704
TGRH88_066010,853,644
TGRH88_013080,854,1182
TGRH88_044480,855,741
TGRH88_052010,856,688
TGRH88_086500,857,979
TGRH88_000210,858,795
TGRH88_057160,859,1071
TGRH88_061710,860,977
TGRH88_023510,861,903
TGRH88_044930,862,1193
TGRH88_060250,863,837
TGRH88_009860,864,1115
TGRH88_074000,865,1172
TGRH88_074190,866,706
TGRH88_070670,867,1175
TGRH88_064220,868,1106
TGRH88_064430,869,735
TGRH88_004940,870,885
TGRH88_063140,871,708
TGRH88_073520,872,898
TGRH88_087847,873,1111
TGRH88_066950,874,804
TGRH88_002250,875,801
TGRH88_010430,876,740
TGRH88_063570,877,910
TGRH88_020570,878,861
TGRH88_018430,879,799
TGRH88_038670,880,1004
TGRH88_040220,881,748
TGRH88_028160,882,1044
TGRH88_070660,883,1210
TGRH88_012720,884,779
TGRH88_055380,885,926
TGRH88_005510,886,1083
TGRH88_029890,887,1073
TGRH88_013450,888,836
TGRH88_039120,889,691
TGRH88_038470,890,1126
TGRH88_066490,891,893
TGRH88_058100,892,724
TGRH88_044100,893,792
TGRH88_068720,894,642
TGRH88_002820,895,1037
TGRH88_054990,896,842
TGRH88_074370,897,810
TGRH88_062030,898,816
TGRH88_053610,899,1166
TGRH88_004850,900,1094
TGRH88_054380,901,911
TGRH88_012330,902,1076
TGRH88_016400,903,745
TGRH88_065110,904,772
TGRH88_036590,905,840
TGRH88_067860,906,1179
TGRH88_054320,907,1251
TGRH88_038740,908,900
TGRH88_071690,909,757
TGRH88_037470,910,1130
TGRH88_005860,911,854
TGRH88_054140,912,907
TGRH88_069600,913,865
TGRH88_082140,914,1145
TGRH88_020620,915,995
TGRH88_058880,916,895
TGRH88_071140,917,921
TGRH88_035720,918,908
TGRH88_044360,919,1022
TGRH88_066870,920,862
TGRH88_053840,921,775
TGRH88_024760,922,809
TGRH88_073900,923,963
TGRH88_061180,924,1008
TGRH88_068460,925,753
TGRH88_005730,926,752
TGRH88_001470,927,956
TGRH88_043980,928,848
TGRH88_021420,929,1286
TGRH88_041190,930,1103
TGRH88_070980,931,1206
TGRH88_065420,932,1049
TGRH88_068860,933,718
TGRH88_006450,934,945
TGRH88_037280,935,763
TGRH88_054870,936,1079
TGRH88_046440,937,923
TGRH88_030400,938,1065
TGRH88_003320,939,871
TGRH88_008560,940,813
TGRH88_047820,941,1027
TGRH88_042960,942,1332
TGRH88_011540,943,1347
TGRH88_005130,944,793
TGRH88_019500,945,849
TGRH88_018960,946,759
TGRH88_025580,947,916
TGRH88_001590,948,777
TGRH88_058860,949,807
TGRH88_023640,950,1057
TGRH88_010870,951,1066
TGRH88_046780,952,1249
TGRH88_047650,953,1279
TGRH88_019430,954,976
TGRH88_065630,955,818
TGRH88_078670,956,781
TGRH88_057310,957,1046
TGRH88_073020,958,846
TGRH88_029040,959,889
TGRH88_027930,960,782
TGRH88_055270,961,1268
TGRH88_061510,962,1014
TGRH88_046320,963,739
TGRH88_028170,964,948
TGRH88_021230,965,992
TGRH88_073090,966,1362
TGRH88_054410,967,970
TGRH88_000150,968,1387
TGRH88_037340,969,1346
TGRH88_054590,970,891
TGRH88_020890,971,1033
TGRH88_024560,972,1127
TGRH88_060110,973,859
TGRH88_078510,974,971
TGRH88_044910,975,767
TGRH88_065470,976,1310
TGRH88_042300,977,947
TGRH88_032720,978,760
TGRH88_026180,979,869
TGRH88_030610,980,1298
TGRH88_012870,981,1086
TGRH88_031520,982,957
TGRH88_011980,983,1287
TGRH88_026520,984,1136
TGRH88_028460,985,823
TGRH88_001570,986,1425
TGRH88_047310,987,1011
TGRH88_013560,988,1002
TGRH88_072670,989,918
TGRH88_008270,990,1125
TGRH88_020580,991,1010
TGRH88_022650,992,944
TGRH88_060700,993,991
TGRH88_047080,994,942
TGRH88_073690,995,827
TGRH88_025530,996,1077
TGRH88_062900,997,935
TGRH88_008180,998,882
TGRH88_064440,999,990
TGRH88_060270,1000,1148
TGRH88_047880,1001,1098
TGRH88_036430,1002,797
TGRH88_047830,1003,1240
TGRH88_043200,1004,1020
TGRH88_022740,1005,955
TGRH88_056520,1006,1090
TGRH88_052110,1007,1308
TGRH88_034860,1008,768
TGRH88_072110,1009,1099
TGRH88_059660,1010,1034
TGRH88_043490,1011,1317
TGRH88_039800,1012,1156
TGRH88_042230,1013,1026
TGRH88_039860,1014,774
TGRH88_011240,1015,877
TGRH88_076790,1016,1261
TGRH88_027600,1017,1204
TGRH88_062040,1018,901
TGRH88_049920,1019,888
TGRH88_021470,1020,1388
TGRH88_035580,1021,1085
TGRH88_078810,1022,1029
TGRH88_037360,1023,939
TGRH88_012920,1024,1167
TGRH88_061450,1025,852
TGRH88_035490,1026,938
TGRH88_056650,1027,919
TGRH88_026000,1028,1178
TGRH88_057260,1029,940
TGRH88_011710,1030,1012
TGRH88_075960,1031,904
TGRH88_041530,1032,880
TGRH88_015990,1033,1222
TGRH88_016200,1034,1452
TGRH88_056110,1035,820
TGRH88_027200,1036,934
TGRH88_034260,1037,787
TGRH88_077460,1038,838
TGRH88_068930,1039,1185
TGRH88_019050,1040,821
TGRH88_031440,1041,890
TGRH88_047590,1042,1368
TGRH88_009460,1043,993
TGRH88_037670,1044,1080
TGRH88_055900,1045,1239
TGRH88_074580,1046,829
TGRH88_071740,1047,839
TGRH88_084130,1048,1272
TGRH88_016720,1049,1028
TGRH88_052700,1050,1055
TGRH88_077860,1051,1351
TGRH88_075220,1052,1209
TGRH88_075850,1053,1254
TGRH88_042060,1054,1336
TGRH88_062350,1055,1269
TGRH88_066330,1056,1062
TGRH88_054670,1057,1192
TGRH88_025140,1058,906
TGRH88_082640,1059,1074
TGRH88_001620,1060,1216
