Protein,Copeland_Score,Copeland_Rank
TGRH88_065100,37254.01518,212
TGRH88_075320,37232.01517,213
TGRH88_063090,37212.01516,214
TGRH88_065140,37202.01515,215
TGRH88_066400,37200.01515,216
TGRH88_054630,37186.01515,217
TGRH88_062830,37178.01514,218
TGRH88_071390,37178.01514,219
TGRH88_070320,37138.01513,220
TGRH88_036390,37138.01513,221
TGRH88_003800,37128.01512,222
TGRH88_005800,37114.01512,223
TGRH88_071240,37042.01509,224
TGRH88_033050,37038.01509,225
TGRH88_073560,36972.01506,226
TGRH88_017190,36960.01506,227
TGRH88_038160,36928.01504,228
TGRH88_060710,36928.01504,229
TGRH88_062940,36920.01504,230
TGRH88_024720,36918.01504,231
TGRH88_079370,36888.01503,232
TGRH88_068970,36858.01501,233
TGRH88_031180,36810.01499,234
TGRH88_065760,36796.01499,235
TGRH88_049490,36794.01499,236
TGRH88_019420,36792.01499,237
TGRH88_063030,36786.01498,238
TGRH88_070890,36778.01498,239
TGRH88_039600,36778.01498,240
TGRH88_035600,36774.01498,241
TGRH88_064800,36746.01497,242
TGRH88_074990,36744.01497,243
TGRH88_046330,36728.01496,244
TGRH88_066240,36688.01494,245
TGRH88_010160,36688.01494,246
TGRH88_049720,36666.01494,247
TGRH88_056280,36650.01493,248
TGRH88_059290,36650.01493,249
TGRH88_014800,36648.01493,250
TGRH88_005100,36632.01492,251
TGRH88_052830,36630.01492,252
TGRH88_032820,36608.01491,253
TGRH88_064400,36596.01491,254
TGRH88_020340,36596.01491,255
TGRH88_052840,36566.0149,256
TGRH88_039690,36556.01489,257
TGRH88_037860,36540.01488,258
TGRH88_004990,36526.01488,259
TGRH88_004340,36516.01487,260
TGRH88_008540,36514.01487,261
TGRH88_030100,36506.01487,262
TGRH88_052790,36504.01487,263
TGRH88_046790,36482.01486,264
TGRH88_004280,36476.01486,265
TGRH88_068420,36476.01486,266
TGRH88_015160,36458.01485,267
TGRH88_030360,36458.01485,268
TGRH88_053640,36426.01484,269
TGRH88_076120,36416.01483,270
TGRH88_011860,36404.01483,271
TGRH88_004160,36404.01483,272
TGRH88_077440,36404.01483,273
TGRH88_011650,36398.01483,274
TGRH88_012700,36390.01482,275
TGRH88_071710,36340.0148,276
TGRH88_059040,36330.0148,277
TGRH88_063220,36318.01479,278
TGRH88_036380,36300.01479,279
TGRH88_008470,36280.01478,280
TGRH88_083200,36276.01478,281
TGRH88_065850,36266.01477,282
TGRH88_029930,36234.01476,283
TGRH88_021060,36216.01475,284
TGRH88_081130,36206.01475,285
TGRH88_057520,36200.01475,286
TGRH88_017000,36156.01473,287
TGRH88_055180,36144.01472,288
TGRH88_038690,36138.01472,289
TGRH88_018370,36122.01471,290
TGRH88_069440,36100.01471,291
TGRH88_018870,36084.0147,292
TGRH88_068510,36082.0147,293
TGRH88_037000,36062.01469,294
TGRH88_015010,36022.01467,295
TGRH88_022280,36018.01467,296
TGRH88_053680,36000.01466,297
TGRH88_046840,35998.01466,298
TGRH88_070730,35988.01466,299
TGRH88_051570,35972.01465,300
TGRH88_053930,35964.01465,301
TGRH88_025700,35960.01465,302
TGRH88_007740,35956.01465,303
TGRH88_020990,35942.01464,304
TGRH88_074850,35914.01463,305
TGRH88_050280,35894.01462,306
TGRH88_061600,35880.01462,307
TGRH88_025270,35876.01461,308
TGRH88_036360,35788.01458,309
TGRH88_067280,35788.01458,310
TGRH88_075420,35782.01458,311
TGRH88_077450,35772.01457,312
TGRH88_079510,35762.01457,313
TGRH88_074310,35752.01456,314
TGRH88_062530,35698.01454,315
TGRH88_033680,35664.01453,316
TGRH88_035780,35654.01452,317
TGRH88_046170,35652.01452,318
TGRH88_003630,35648.01452,319
TGRH88_011230,35632.01451,320
TGRH88_050300,35614.01451,321
TGRH88_076440,35576.01449,322
TGRH88_031240,35576.01449,323
TGRH88_076140,35574.01449,324
TGRH88_012900,35564.01449,325
TGRH88_038110,35564.01449,326
TGRH88_067220,35516.01447,327
TGRH88_057230,35516.01447,328
TGRH88_052210,35504.01446,329
TGRH88_015180,35476.01445,330
TGRH88_015150,35476.01445,331
TGRH88_042190,35460.01444,332
TGRH88_002100,35450.01444,333
TGRH88_051360,35422.01443,334
TGRH88_030060,35406.01442,335
TGRH88_061530,35402.01442,336
TGRH88_001180,35394.01442,337
TGRH88_023550,35364.01441,338
TGRH88_033820,35354.0144,339
TGRH88_063740,35320.01439,340
TGRH88_041970,35314.01439,341
TGRH88_073490,35312.01438,342
TGRH88_012780,35302.01438,343
TGRH88_046270,35296.01438,344
TGRH88_078740,35264.01436,345
TGRH88_027150,35238.01435,346
TGRH88_081140,35232.01435,347
TGRH88_047700,35228.01435,348
TGRH88_022500,35218.01435,349
TGRH88_058240,35218.01435,350
TGRH88_083260,35208.01434,351
TGRH88_036880,35202.01434,352
TGRH88_033380,35188.01433,353
TGRH88_054390,35148.01432,354
TGRH88_020270,35086.01429,355
TGRH88_024870,35068.01428,356
TGRH88_039670,35040.01427,357
TGRH88_019490,35036.01427,358
TGRH88_078760,35028.01427,359
TGRH88_047500,34996.01426,360
TGRH88_016890,34984.01425,361
TGRH88_071220,34984.01425,362
TGRH88_000070,34976.01425,363
TGRH88_005480,34974.01425,364
TGRH88_036570,34962.01424,365
TGRH88_042760,34960.01424,366
TGRH88_024520,34940.01423,367
TGRH88_019550,34928.01423,368
TGRH88_001120,34926.01423,369
TGRH88_047510,34900.01422,370
TGRH88_036400,34888.01421,371
TGRH88_070750,34886.01421,372
TGRH88_023100,34884.01421,373
TGRH88_068720,34864.0142,374
TGRH88_081050,34844.01419,375
TGRH88_060980,34826.01419,376
TGRH88_055960,34820.01418,377
TGRH88_029400,34794.01417,378
TGRH88_055070,34788.01417,379
TGRH88_029790,34786.01417,380
TGRH88_028570,34784.01417,381
TGRH88_070130,34778.01417,382
TGRH88_063980,34746.01415,383
TGRH88_071080,34744.01415,384
TGRH88_042520,34736.01415,385
TGRH88_070330,34706.01414,386
TGRH88_067520,34680.01413,387
TGRH88_074110,34670.01412,388
TGRH88_049760,34646.01411,389
TGRH88_010520,34646.01411,390
TGRH88_009880,34640.01411,391
TGRH88_029130,34622.0141,392
TGRH88_072750,34604.0141,393
TGRH88_061370,34562.01408,394
TGRH88_079070,34536.01407,395
TGRH88_054920,34524.01406,396
TGRH88_066010,34518.01406,397
TGRH88_078480,34504.01406,398
TGRH88_020940,34464.01404,399
TGRH88_082240,34456.01404,400
TGRH88_048810,34430.01403,401
TGRH88_040700,34412.01402,402
TGRH88_059440,34410.01402,403
TGRH88_049340,34402.01401,404
TGRH88_067440,34392.01401,405
TGRH88_046880,34368.014,406
TGRH88_067150,34362.014,407
TGRH88_045810,34336.01399,408
TGRH88_024210,34320.01398,409
TGRH88_064950,34302.01397,410
TGRH88_026650,34288.01397,411
TGRH88_007980,34286.01397,412
TGRH88_076820,34260.01396,413
TGRH88_020490,34234.01395,414
TGRH88_075800,34186.01393,415
TGRH88_071270,34156.01391,416
TGRH88_034950,34148.01391,417
TGRH88_034980,34130.0139,418
TGRH88_069220,34130.0139,419
TGRH88_050640,34128.0139,420
TGRH88_017130,34124.0139,421
TGRH88_033270,34102.01389,422
TGRH88_074920,34064.01388,423
TGRH88_064020,34062.01388,424
TGRH88_040570,34060.01387,425
TGRH88_041430,34042.01387,426
TGRH88_041390,34018.01386,427
TGRH88_026090,34010.01385,428
TGRH88_037620,34000.01385,429
TGRH88_079340,33988.01385,430
TGRH88_037520,33978.01384,431
TGRH88_071620,33936.01382,432
TGRH88_034160,33934.01382,433
TGRH88_037910,33934.01382,434
TGRH88_012390,33930.01382,435
TGRH88_061500,33920.01382,436
TGRH88_042750,33918.01382,437
TGRH88_054170,33914.01381,438
TGRH88_057870,33910.01381,439
TGRH88_049900,33906.01381,440
TGRH88_053330,33904.01381,441
TGRH88_020900,33892.01381,442
TGRH88_019280,33880.0138,443
TGRH88_039160,33852.01379,444
TGRH88_021040,33840.01378,445
TGRH88_039620,33828.01378,446
TGRH88_083130,33790.01376,447
TGRH88_031380,33770.01376,448
TGRH88_045900,33764.01375,449
TGRH88_039120,33740.01374,450
TGRH88_009090,33730.01374,451
TGRH88_010170,33704.01373,452
TGRH88_073470,33676.01372,453
TGRH88_062710,33658.01371,454
TGRH88_006570,33648.01371,455
TGRH88_074940,33632.0137,456
TGRH88_081010,33624.0137,457
TGRH88_057000,33622.0137,458
TGRH88_068860,33620.0137,459
TGRH88_003600,33614.01369,460
TGRH88_015950,33610.01369,461
TGRH88_045410,33602.01369,462
TGRH88_081280,33600.01369,463
TGRH88_040910,33572.01368,464
TGRH88_012510,33548.01367,465
TGRH88_058920,33508.01365,466
TGRH88_015880,33494.01364,467
TGRH88_036870,33492.01364,468
TGRH88_010210,33488.01364,469
TGRH88_021080,33488.01364,470
TGRH88_053090,33474.01364,471
TGRH88_071410,33470.01363,472
TGRH88_076000,33470.01363,473
TGRH88_052010,33458.01363,474
TGRH88_049350,33424.01362,475
TGRH88_046320,33422.01361,476
TGRH88_047280,33420.01361,477
TGRH88_038960,33416.01361,478
TGRH88_055910,33414.01361,479
TGRH88_077710,33404.01361,480
TGRH88_010390,33390.0136,481
TGRH88_067240,33380.0136,482
TGRH88_063310,33376.0136,483
TGRH88_079410,33372.01359,484
TGRH88_034180,33370.01359,485
TGRH88_080510,33362.01359,486
TGRH88_021940,33356.01359,487
TGRH88_034860,33352.01359,488
TGRH88_034220,33344.01358,489
TGRH88_079750,33340.01358,490
TGRH88_005020,33338.01358,491
TGRH88_068940,33338.01358,492
TGRH88_005880,33334.01358,493
TGRH88_029500,33282.01356,494
TGRH88_039860,33278.01356,495
TGRH88_030970,33276.01355,496
TGRH88_034260,33248.01354,497
TGRH88_061300,33244.01354,498
TGRH88_077470,33220.01353,499
TGRH88_040440,33170.01351,500
TGRH88_069070,33160.01351,501
TGRH88_074190,33158.01351,502
TGRH88_070790,33152.0135,503
TGRH88_033120,33148.0135,504
TGRH88_035340,33148.0135,505
TGRH88_063140,33130.0135,506
TGRH88_010530,33126.01349,507
TGRH88_044910,33112.01349,508
TGRH88_044700,33084.01348,509
TGRH88_054770,33082.01348,510
TGRH88_052900,33070.01347,511
TGRH88_054360,33044.01346,512
TGRH88_032720,33012.01345,513
TGRH88_021610,33010.01345,514
TGRH88_063760,33000.01344,515
TGRH88_023740,33000.01344,516
TGRH88_015120,32984.01344,517
TGRH88_048420,32982.01344,518
TGRH88_029640,32980.01343,519
TGRH88_042260,32960.01343,520
TGRH88_062170,32954.01342,521
TGRH88_017920,32946.01342,522
TGRH88_004290,32926.01341,523
TGRH88_058100,32920.01341,524
TGRH88_048920,32918.01341,525
TGRH88_002490,32906.0134,526
TGRH88_079880,32904.0134,527
TGRH88_021240,32894.0134,528
TGRH88_028420,32880.01339,529
TGRH88_019300,32844.01338,530
TGRH88_034580,32844.01338,531
TGRH88_072490,32810.01337,532
TGRH88_051290,32800.01336,533
TGRH88_018960,32800.01336,534
TGRH88_059600,32798.01336,535
TGRH88_067720,32772.01335,536
TGRH88_018800,32754.01334,537
TGRH88_005730,32722.01333,538
TGRH88_036430,32716.01333,539
TGRH88_056110,32686.01331,540
TGRH88_034110,32676.01331,541
TGRH88_074580,32662.0133,542
TGRH88_068460,32646.0133,543
TGRH88_019050,32628.01329,544
TGRH88_013620,32614.01329,545
TGRH88_076620,32610.01328,546
TGRH88_059790,32574.01327,547
TGRH88_081210,32572.01327,548
TGRH88_078670,32552.01326,549
TGRH88_045230,32552.01326,550
TGRH88_047940,32548.01326,551
TGRH88_027930,32544.01326,552
TGRH88_065240,32512.01324,553
TGRH88_001610,32512.01324,554
TGRH88_045450,32512.01324,555
TGRH88_026940,32500.01324,556
TGRH88_070020,32458.01322,557
TGRH88_036440,32456.01322,558
TGRH88_013930,32454.01322,559
TGRH88_059080,32434.01321,560
TGRH88_071740,32422.01321,561
TGRH88_041830,32412.0132,562
TGRH88_030590,32398.0132,563
TGRH88_020770,32392.01319,564
TGRH88_001360,32384.01319,565
TGRH88_077460,32364.01318,566
TGRH88_042150,32350.01318,567
TGRH88_065670,32318.01316,568
TGRH88_052180,32312.01316,569
TGRH88_063800,32290.01315,570
TGRH88_001590,32286.01315,571
TGRH88_071690,32270.01315,572
TGRH88_016400,32254.01314,573
TGRH88_037280,32254.01314,574
TGRH88_067910,32248.01314,575
TGRH88_074030,32234.01313,576
TGRH88_079870,32228.01313,577
TGRH88_064430,32226.01313,578
TGRH88_050920,32212.01312,579
TGRH88_042850,32210.01312,580
TGRH88_027890,32194.01311,581
TGRH88_063650,32188.01311,582
TGRH88_076660,32188.01311,583
TGRH88_060740,32178.01311,584
TGRH88_055880,32154.0131,585
TGRH88_028460,32114.01308,586
TGRH88_082440,32098.01308,587
TGRH88_061740,32070.01306,588
TGRH88_076290,32062.01306,589
TGRH88_048960,32014.01304,590
TGRH88_042590,32010.01304,591
TGRH88_007560,32008.01304,592
TGRH88_053840,32002.01304,593
TGRH88_068760,31996.01303,594
TGRH88_036470,31992.01303,595
TGRH88_003420,31990.01303,596
TGRH88_072740,31972.01302,597
TGRH88_006960,31970.01302,598
TGRH88_076300,31956.01302,599
TGRH88_061780,31950.01301,600
TGRH88_073880,31950.01301,601
TGRH88_040220,31914.013,602
TGRH88_010430,31910.013,603
TGRH88_056250,31908.013,604
TGRH88_073690,31896.01299,605
TGRH88_017600,31896.01299,606
TGRH88_030170,31888.01299,607
TGRH88_051990,31884.01299,608
TGRH88_005660,31882.01299,609
TGRH88_061450,31878.01299,610
TGRH88_042470,31850.01297,611
TGRH88_037960,31844.01297,612
TGRH88_024500,31838.01297,613
TGRH88_071090,31820.01296,614
TGRH88_037930,31786.01295,615
TGRH88_056040,31778.01294,616
TGRH88_070340,31772.01294,617
TGRH88_046720,31764.01294,618
TGRH88_007440,31762.01294,619
TGRH88_034700,31752.01293,620
TGRH88_038090,31746.01293,621
TGRH88_065110,31738.01293,622
TGRH88_018750,31734.01293,623
TGRH88_073960,31730.01293,624
TGRH88_014520,31724.01292,625
TGRH88_034370,31712.01292,626
TGRH88_045730,31708.01292,627
TGRH88_022130,31692.01291,628
TGRH88_022610,31680.0129,629
TGRH88_044480,31678.0129,630
TGRH88_005130,31670.0129,631
TGRH88_014380,31644.01289,632
TGRH88_058860,31622.01288,633
TGRH88_065630,31596.01287,634
TGRH88_051340,31586.01287,635
TGRH88_045840,31580.01286,636
TGRH88_082950,31574.01286,637
TGRH88_051920,31560.01286,638
TGRH88_071050,31524.01284,639
TGRH88_033100,31466.01282,640
TGRH88_052560,31436.01281,641
TGRH88_036480,31430.0128,642
TGRH88_006700,31420.0128,643
TGRH88_000720,31418.0128,644
TGRH88_067250,31374.01278,645
TGRH88_041820,31352.01277,646
TGRH88_036730,31296.01275,647
TGRH88_045880,31276.01274,648
TGRH88_008560,31270.01274,649
TGRH88_009220,31244.01273,650
TGRH88_041840,31240.01273,651
TGRH88_075100,31232.01272,652
TGRH88_081380,31214.01272,653
TGRH88_058850,31208.01271,654
TGRH88_044290,31188.0127,655
TGRH88_076170,31178.0127,656
TGRH88_044100,31176.0127,657
TGRH88_047610,31172.0127,658
TGRH88_012720,31160.01269,659
TGRH88_068260,31150.01269,660
TGRH88_049250,31120.01268,661
TGRH88_072710,31118.01268,662
TGRH88_059310,31112.01267,663
TGRH88_023700,31096.01267,664
TGRH88_060610,31092.01267,665
TGRH88_073020,31088.01266,666
TGRH88_076490,31084.01266,667
TGRH88_003130,31080.01266,668
TGRH88_050950,31050.01265,669
TGRH88_079770,31048.01265,670
TGRH88_083190,31036.01264,671
TGRH88_070040,31030.01264,672
TGRH88_025390,31030.01264,673
TGRH88_055970,31028.01264,674
TGRH88_068130,31022.01264,675
TGRH88_064910,31002.01263,676
TGRH88_019540,30990.01262,677
TGRH88_082460,30974.01262,678
TGRH88_038820,30958.01261,679
TGRH88_057150,30954.01261,680
TGRH88_024760,30950.01261,681
TGRH88_076400,30944.01261,682
TGRH88_022750,30936.0126,683
TGRH88_013270,30930.0126,684
TGRH88_078160,30922.0126,685
TGRH88_065340,30920.0126,686
TGRH88_066950,30914.01259,687
TGRH88_041530,30914.01259,688
TGRH88_054340,30892.01258,689
TGRH88_063410,30890.01258,690
TGRH88_020190,30860.01257,691
TGRH88_065280,30858.01257,692
TGRH88_074790,30840.01256,693
TGRH88_040260,30836.01256,694
TGRH88_071210,30832.01256,695
TGRH88_006290,30810.01255,696
TGRH88_018430,30796.01254,697
TGRH88_027260,30786.01254,698
TGRH88_072150,30784.01254,699
TGRH88_060110,30782.01254,700
TGRH88_037320,30778.01254,701
TGRH88_025140,30776.01254,702
TGRH88_024800,30768.01253,703
TGRH88_058480,30758.01253,704
TGRH88_074150,30750.01253,705
TGRH88_039630,30720.01251,706
TGRH88_017940,30710.01251,707
TGRH88_035470,30706.01251,708
TGRH88_047120,30692.0125,709
TGRH88_011240,30680.0125,710
TGRH88_019380,30666.01249,711
TGRH88_073420,30666.01249,712
TGRH88_031440,30652.01249,713
TGRH88_061870,30652.01249,714
TGRH88_008180,30634.01248,715
TGRH88_018570,30632.01248,716
TGRH88_079040,30582.01246,717
TGRH88_027780,30580.01246,718
TGRH88_077980,30580.01246,719
TGRH88_009050,30572.01245,720
TGRH88_075660,30560.01245,721
TGRH88_049600,30544.01244,722
TGRH88_077620,30542.01244,723
TGRH88_067930,30538.01244,724
TGRH88_026180,30532.01244,725
TGRH88_068120,30506.01243,726
TGRH88_049920,30502.01242,727
TGRH88_040330,30490.01242,728
TGRH88_001140,30486.01242,729
TGRH88_018790,30478.01242,730
TGRH88_039510,30476.01241,731
TGRH88_061610,30466.01241,732
TGRH88_068730,30450.0124,733
TGRH88_072450,30436.0124,734
TGRH88_074370,30432.0124,735
TGRH88_086540,30430.0124,736
TGRH88_055060,30420.01239,737
TGRH88_034020,30416.01239,738
TGRH88_063860,30398.01238,739
TGRH88_039320,30390.01238,740
TGRH88_016240,30390.01238,741
TGRH88_035730,30390.01238,742
TGRH88_056600,30382.01238,743
TGRH88_061980,30376.01237,744
TGRH88_061050,30376.01237,745
TGRH88_047860,30374.01237,746
TGRH88_033980,30358.01237,747
TGRH88_019500,30358.01237,748
TGRH88_078130,30344.01236,749
TGRH88_041420,30336.01236,750
TGRH88_017890,30324.01235,751
TGRH88_019310,30308.01235,752
TGRH88_062280,30306.01235,753
TGRH88_075350,30300.01234,754
TGRH88_034850,30294.01234,755
TGRH88_015330,30286.01234,756
TGRH88_064080,30280.01233,757
TGRH88_062030,30278.01233,758
TGRH88_081940,30264.01233,759
TGRH88_051510,30258.01233,760
TGRH88_077390,30238.01232,761
TGRH88_041980,30170.01229,762
TGRH88_007550,30158.01228,763
TGRH88_058790,30134.01228,764
TGRH88_075960,30132.01227,765
TGRH88_073450,30120.01227,766
TGRH88_062040,30114.01227,767
TGRH88_043980,30082.01225,768
TGRH88_002250,30072.01225,769
TGRH88_000900,30066.01225,770
TGRH88_060250,30066.01225,771
TGRH88_031570,30064.01225,772
TGRH88_007670,30050.01224,773
TGRH88_072980,30048.01224,774
TGRH88_055690,30048.01224,775
TGRH88_036510,30046.01224,776
TGRH88_071680,30046.01224,777
TGRH88_073140,30036.01224,778
TGRH88_014640,30024.01223,779
TGRH88_000210,30012.01223,780
TGRH88_008700,30010.01222,781
TGRH88_059300,29960.0122,782
TGRH88_065710,29952.0122,783
TGRH88_011480,29910.01218,784
TGRH88_064380,29910.01218,785
TGRH88_008940,29878.01217,786
TGRH88_011190,29862.01216,787
TGRH88_046890,29858.01216,788
TGRH88_009760,29840.01216,789
TGRH88_003770,29808.01214,790
TGRH88_069600,29806.01214,791
TGRH88_056650,29806.01214,792
TGRH88_006130,29800.01214,793
TGRH88_013450,29794.01214,794
TGRH88_036590,29790.01213,795
TGRH88_019200,29786.01213,796
TGRH88_079250,29760.01212,797
TGRH88_079550,29754.01212,798
TGRH88_029940,29736.01211,799
TGRH88_079640,29734.01211,800
TGRH88_054490,29718.01211,801
TGRH88_039310,29716.0121,802
TGRH88_026790,29710.0121,803
TGRH88_065210,29686.01209,804
TGRH88_021560,29682.01209,805
TGRH88_024240,29650.01208,806
TGRH88_054000,29650.01208,807
TGRH88_012340,29638.01207,808
TGRH88_037080,29626.01207,809
TGRH88_021850,29620.01207,810
TGRH88_055870,29580.01205,811
TGRH88_012790,29572.01205,812
TGRH88_034900,29564.01204,813
TGRH88_046200,29560.01204,814
TGRH88_054590,29542.01203,815
TGRH88_022040,29540.01203,816
TGRH88_056500,29538.01203,817
TGRH88_008370,29538.01203,818
TGRH88_054990,29534.01203,819
TGRH88_060850,29506.01202,820
TGRH88_030560,29450.012,821
