Protein,MC4_Rank,MCT_Rank,MC4_Score,MCT_Score
TGRH88_003360,112,92,0.98637368,0.988828873
TGRH88_007470,113,91,0.986250921,0.988951633
TGRH88_044470,114,109,0.986128161,0.986741959
TGRH88_035020,115,142,0.986005401,0.982690891
TGRH88_048920,116,265,0.985882642,0.967591456
TGRH88_078580,117,89,0.985759882,0.989197152
TGRH88_062330,118,101,0.985637123,0.987724036
TGRH88_046190,119,125,0.985514363,0.984777805
TGRH88_031850,120,93,0.985391603,0.988706113
TGRH88_017020,121,94,0.985268844,0.988583354
TGRH88_043860,122,120,0.985146084,0.985391603
TGRH88_014370,123,90,0.985023324,0.989074392
TGRH88_080270,124,117,0.984900565,0.985759882
TGRH88_076980,125,127,0.984777805,0.984532286
TGRH88_046920,126,105,0.984655045,0.987232998
TGRH88_046270,127,180,0.984532286,0.978026025
TGRH88_036870,128,224,0.984409526,0.972624601
TGRH88_044880,129,138,0.984286767,0.98318193
TGRH88_072750,130,194,0.984164007,0.97630739
TGRH88_029560,131,144,0.984041247,0.982445372
TGRH88_068380,132,139,0.983918488,0.98305917
TGRH88_006920,133,116,0.983795728,0.985882642
TGRH88_005690,134,114,0.983672968,0.986128161
TGRH88_059600,135,241,0.983550209,0.970537687
TGRH88_041840,136,269,0.983427449,0.967100417
TGRH88_077450,137,166,0.983304689,0.97974466
TGRH88_079880,138,277,0.98318193,0.96611834
TGRH88_070990,139,119,0.98305917,0.985514363
TGRH88_051090,140,104,0.982936411,0.987355757
TGRH88_059230,141,132,0.982813651,0.983918488
TGRH88_057500,142,118,0.982690891,0.985637123
TGRH88_049510,143,106,0.982568132,0.987110238
TGRH88_022500,144,200,0.982445372,0.975570832
TGRH88_031230,145,134,0.982322612,0.983672968
TGRH88_013600,146,111,0.982199853,0.98649644
TGRH88_003110,147,145,0.982077093,0.982322612
TGRH88_027190,148,123,0.981954333,0.985023324
TGRH88_002430,149,124,0.981831574,0.984900565
TGRH88_069420,150,128,0.981708814,0.984409526
TGRH88_015670,151,122,0.981586055,0.985146084
TGRH88_046880,152,221,0.981463295,0.97299288
TGRH88_043710,153,148,0.981340535,0.981954333
TGRH88_083260,154,203,0.981217776,0.975202553
TGRH88_071350,155,141,0.981095016,0.982813651
TGRH88_023880,156,121,0.980972256,0.985268844
TGRH88_075320,157,160,0.980849497,0.980481218
TGRH88_079340,158,234,0.980726737,0.971397005
TGRH88_023740,159,256,0.980603977,0.968696293
TGRH88_038710,160,130,0.980481218,0.984164007
TGRH88_067910,161,264,0.980358458,0.967714216
TGRH88_045900,162,243,0.980235699,0.970292168
TGRH88_014760,163,155,0.980112939,0.981095016
TGRH88_081130,164,183,0.979990179,0.977657746
TGRH88_011570,165,162,0.97986742,0.980235699
TGRH88_004160,166,190,0.97974466,0.976798429
TGRH88_068730,167,299,0.9796219,0.963417628
TGRH88_007680,168,131,0.979499141,0.984041247
TGRH88_026540,169,147,0.979376381,0.982077093
TGRH88_058770,170,161,0.979253621,0.980358458
TGRH88_071090,171,279,0.979130862,0.965872821
TGRH88_052790,172,185,0.979008102,0.977412227
TGRH88_076210,173,325,0.978885342,0.960225878
TGRH88_001930,174,126,0.978762583,0.984655045
TGRH88_007440,175,284,0.978639823,0.965259023
TGRH88_060660,176,171,0.978517064,0.979130862
TGRH88_078610,177,168,0.978394304,0.979499141
TGRH88_070750,178,225,0.978271544,0.972501841
TGRH88_022760,179,159,0.978148785,0.980603977
TGRH88_013900,180,143,0.978026025,0.982568132
TGRH88_037270,181,158,0.977903265,0.980726737
TGRH88_039690,182,191,0.977780506,0.976675669
TGRH88_081620,183,136,0.977657746,0.983427449
TGRH88_049160,184,146,0.977534986,0.982199853
TGRH88_079510,185,207,0.977412227,0.974711515
TGRH88_064030,186,137,0.977289467,0.983304689
TGRH88_074310,187,211,0.977166708,0.974220476
TGRH88_034930,188,175,0.977043948,0.978639823
TGRH88_068780,189,150,0.976921188,0.981708814
TGRH88_075680,190,135,0.976798429,0.983550209
TGRH88_071240,191,179,0.976675669,0.978148785
TGRH88_062530,192,250,0.976552909,0.96943285
TGRH88_057360,193,176,0.97643015,0.978517064
TGRH88_062830,194,182,0.97630739,0.977780506
TGRH88_007890,195,157,0.97618463,0.980849497
TGRH88_026870,196,178,0.976061871,0.978271544
TGRH88_057580,197,156,0.975939111,0.980972256
TGRH88_036390,198,206,0.975816352,0.974834274
TGRH88_023870,199,152,0.975693592,0.981463295
TGRH88_026940,200,281,0.975570832,0.965627302
TGRH88_025710,201,154,0.975448073,0.981217776
TGRH88_061520,202,151,0.975325313,0.981586055
TGRH88_079030,203,164,0.975202553,0.979990179
TGRH88_023040,204,350,0.975079794,0.957156887
TGRH88_070890,205,204,0.974957034,0.975079794
TGRH88_056130,206,165,0.974834274,0.97986742
TGRH88_049490,207,223,0.974711515,0.972747361
TGRH88_036360,208,226,0.974588755,0.972379082
TGRH88_078780,209,174,0.974465996,0.978762583
TGRH88_020280,210,169,0.974343236,0.979376381
TGRH88_081970,211,186,0.974220476,0.977289467
TGRH88_062770,212,173,0.974097717,0.978885342
TGRH88_082000,213,189,0.973974957,0.976921188
TGRH88_004340,214,233,0.973852197,0.971519764
TGRH88_077520,215,149,0.973729438,0.981831574
TGRH88_065140,216,199,0.973606678,0.975693592
TGRH88_074990,217,228,0.973483918,0.972133562
TGRH88_060710,218,208,0.973361159,0.974588755
TGRH88_039320,219,339,0.973238399,0.958507243
TGRH88_015010,220,231,0.97311564,0.971765284
TGRH88_064400,221,238,0.97299288,0.970905966
TGRH88_023710,222,163,0.97287012,0.980112939
TGRH88_078710,223,216,0.972747361,0.973606678
TGRH88_087846,224,167,0.972624601,0.9796219
TGRH88_037320,225,329,0.972501841,0.959734839
TGRH88_074850,226,258,0.972379082,0.968450773
TGRH88_082440,227,309,0.972256322,0.962190032
TGRH88_063330,228,198,0.972133562,0.975816352
TGRH88_061600,229,259,0.972010803,0.968328014
TGRH88_082240,230,267,0.971888043,0.967345937
TGRH88_067800,231,172,0.971765284,0.979008102
TGRH88_053640,232,232,0.971642524,0.971642524
TGRH88_006570,233,289,0.971519764,0.964645225
TGRH88_011860,234,240,0.971397005,0.970660447
TGRH88_008470,235,230,0.971274245,0.971888043
TGRH88_030710,236,215,0.971151485,0.973729438
TGRH88_057440,237,170,0.971028726,0.979253621
TGRH88_017130,238,280,0.970905966,0.965750061
TGRH88_026090,239,283,0.970783206,0.965381782
TGRH88_032250,240,195,0.970660447,0.97618463
TGRH88_059290,241,229,0.970537687,0.972010803
TGRH88_067200,242,222,0.970414928,0.97287012
TGRH88_016530,243,384,0.970292168,0.952983059
TGRH88_006850,244,192,0.970169408,0.976552909
TGRH88_069440,245,266,0.970046649,0.967468696
TGRH88_015210,246,214,0.969923889,0.973852197
TGRH88_038690,247,262,0.969801129,0.967959735
TGRH88_054950,248,193,0.96967837,0.97643015
TGRH88_052060,249,188,0.96955561,0.977043948
TGRH88_035600,250,239,0.96943285,0.970783206
TGRH88_041740,251,197,0.969310091,0.975939111
TGRH88_019320,252,220,0.969187331,0.97311564
TGRH88_057130,253,181,0.969064572,0.977903265
TGRH88_033090,254,196,0.968941812,0.976061871
TGRH88_071710,255,268,0.968819052,0.967223177
TGRH88_056280,256,244,0.968696293,0.970169408
TGRH88_082950,257,338,0.968573533,0.958630002
TGRH88_015180,258,271,0.968450773,0.966854898
TGRH88_057490,259,212,0.968328014,0.974097717
TGRH88_074030,260,333,0.968205254,0.959243801
TGRH88_022440,261,218,0.968082494,0.973361159
TGRH88_058310,262,209,0.967959735,0.974465996
TGRH88_031000,263,210,0.967836975,0.974343236
TGRH88_033270,264,292,0.967714216,0.964276946
TGRH88_020340,265,260,0.967591456,0.968205254
TGRH88_061220,266,219,0.967468696,0.973238399
TGRH88_019420,267,253,0.967345937,0.969064572
TGRH88_030100,268,263,0.967223177,0.967836975
TGRH88_014800,269,261,0.967100417,0.968082494
TGRH88_046720,270,345,0.966977658,0.957770685
TGRH88_029500,271,318,0.966854898,0.961085195
TGRH88_052840,272,254,0.966732138,0.968941812
TGRH88_027470,273,412,0.966609379,0.949545789
TGRH88_053560,274,201,0.966486619,0.975448073
TGRH88_082680,275,187,0.96636386,0.977166708
TGRH88_066240,276,257,0.9662411,0.968573533
TGRH88_044870,277,205,0.96611834,0.974957034
TGRH88_042150,278,343,0.965995581,0.958016204
TGRH88_028140,279,217,0.965872821,0.973483918
TGRH88_064360,280,202,0.965750061,0.975325313
TGRH88_022950,281,433,0.965627302,0.946967837
TGRH88_030970,282,328,0.965504542,0.959857599
TGRH88_068970,283,255,0.965381782,0.968819052
TGRH88_004280,284,274,0.965259023,0.966486619
TGRH88_025990,285,435,0.965136263,0.946722318
TGRH88_005480,286,326,0.965013504,0.960103118
TGRH88_003800,287,251,0.964890744,0.969310091
TGRH88_067220,288,286,0.964767984,0.965013504
TGRH88_036440,289,347,0.964645225,0.957525166
TGRH88_043360,290,235,0.964522465,0.971274245
TGRH88_066400,291,247,0.964399705,0.969801129
TGRH88_027920,292,423,0.964276946,0.948195433
TGRH88_002100,293,293,0.964154186,0.964154186
TGRH88_029130,294,307,0.964031426,0.962435551
TGRH88_010170,295,360,0.963908667,0.95592929
TGRH88_067520,296,305,0.963785907,0.96268107
TGRH88_034110,297,349,0.963663148,0.957279646
TGRH88_058920,298,337,0.963540388,0.958752762
TGRH88_034160,299,331,0.963417628,0.95948932
TGRH88_041970,300,295,0.963294869,0.963908667
TGRH88_025270,301,285,0.963172109,0.965136263
TGRH88_054280,302,237,0.963049349,0.971028726
TGRH88_038370,303,213,0.96292659,0.973974957
TGRH88_049500,304,248,0.96280383,0.96967837
TGRH88_057870,305,334,0.96268107,0.959121041
TGRH88_057230,306,306,0.962558311,0.962558311
TGRH88_062170,307,348,0.962435551,0.957402406
TGRH88_020770,308,363,0.962312792,0.955561012
TGRH88_007350,309,528,0.962190032,0.935305671
TGRH88_024870,310,308,0.962067272,0.962312792
TGRH88_057520,311,282,0.961944513,0.965504542
TGRH88_015150,312,320,0.961821753,0.960839676
TGRH88_038160,313,272,0.961698993,0.966732138
TGRH88_034850,314,418,0.961576234,0.948809232
TGRH88_050640,315,336,0.961453474,0.958875522
TGRH88_063590,316,227,0.961330714,0.972256322
TGRH88_021060,317,288,0.961207955,0.964767984
TGRH88_022900,318,252,0.961085195,0.969187331
TGRH88_064800,319,278,0.960962436,0.965995581
TGRH88_057150,320,410,0.960839676,0.949791309
TGRH88_023070,321,478,0.960716916,0.941443653
TGRH88_068420,322,287,0.960594157,0.964890744
TGRH88_064880,323,242,0.960471397,0.970414928
TGRH88_067930,324,427,0.960348637,0.947704395
TGRH88_025390,325,413,0.960225878,0.94942303
TGRH88_018800,326,375,0.960103118,0.954087896
TGRH88_061050,327,434,0.959980358,0.946845077
TGRH88_063220,328,304,0.959857599,0.96280383
TGRH88_040910,329,383,0.959734839,0.953105819
TGRH88_046910,330,552,0.95961208,0.93235944
TGRH88_046840,331,322,0.95948932,0.960594157
TGRH88_008540,332,291,0.95936656,0.964399705
TGRH88_069820,333,245,0.959243801,0.970046649
TGRH88_038960,334,358,0.959121041,0.95617481
TGRH88_012940,335,270,0.958998281,0.966977658
TGRH88_003600,336,391,0.958875522,0.952123742
TGRH88_060720,337,452,0.958752762,0.944635404
TGRH88_005880,338,370,0.958630002,0.954701694
TGRH88_027890,339,392,0.958507243,0.952000982
TGRH88_079410,340,361,0.958384483,0.955806531
TGRH88_041430,341,352,0.958261724,0.956911368
TGRH88_059790,342,385,0.958138964,0.9528603
TGRH88_055970,343,428,0.958016204,0.947581635
TGRH88_034840,344,514,0.957893445,0.937024306
TGRH88_018870,345,321,0.957770685,0.960716916
TGRH88_050300,346,340,0.957647925,0.958384483
TGRH88_044090,347,461,0.957525166,0.943530567
TGRH88_004990,348,294,0.957402406,0.964031426
TGRH88_062710,349,366,0.957279646,0.955192733
TGRH88_048960,350,408,0.957156887,0.950036828
TGRH88_002140,351,573,0.957034127,0.929781488
TGRH88_010160,352,296,0.956911368,0.963785907
TGRH88_017920,353,390,0.956788608,0.952246501
TGRH88_076300,354,414,0.956665848,0.94930027
TGRH88_073880,355,411,0.956543089,0.949668549
TGRH88_033260,356,273,0.956420329,0.966609379
TGRH88_068510,357,324,0.956297569,0.960348637
TGRH88_025660,358,511,0.95617481,0.937392585
TGRH88_031180,359,298,0.95605205,0.963540388
TGRH88_039670,360,367,0.95592929,0.955069973
TGRH88_065850,361,315,0.955806531,0.961453474
TGRH88_040860,362,549,0.955683771,0.932727719
TGRH88_001180,363,355,0.955561012,0.956543089
TGRH88_077440,364,319,0.955438252,0.960962436
TGRH88_068760,365,424,0.955315492,0.948072674
TGRH88_039600,366,302,0.955192733,0.963049349
TGRH88_063980,367,376,0.955069973,0.953965136
TGRH88_043060,368,275,0.954947213,0.96636386
TGRH88_048810,369,362,0.954824454,0.955683771
TGRH88_073840,370,276,0.954701694,0.9662411
TGRH88_065100,371,290,0.954578934,0.964522465
TGRH88_074150,372,451,0.954456175,0.944758164
TGRH88_073490,373,356,0.954333415,0.956420329
TGRH88_022610,374,439,0.954210656,0.946231279
TGRH88_079070,375,388,0.954087896,0.952492021
TGRH88_059300,376,474,0.953965136,0.941934692
TGRH88_040700,377,398,0.953842377,0.951264424
TGRH88_000360,378,509,0.953719617,0.937638105
TGRH88_078760,379,353,0.953596857,0.956788608
TGRH88_004290,380,409,0.953474098,0.949914068
TGRH88_072740,381,437,0.953351338,0.946476798
TGRH88_073560,382,303,0.953228578,0.96292659
TGRH88_076170,383,450,0.953105819,0.944880923
TGRH88_019200,384,479,0.952983059,0.941320894
TGRH88_078740,385,351,0.9528603,0.957034127
TGRH88_005800,386,301,0.95273754,0.963172109
TGRH88_076000,387,396,0.95261478,0.951509944
TGRH88_049030,388,486,0.952492021,0.940461576
TGRH88_065760,389,313,0.952369261,0.961698993
TGRH88_065410,390,488,0.952246501,0.940216057
TGRH88_054630,391,300,0.952123742,0.963294869
TGRH88_073960,392,446,0.952000982,0.945371962
TGRH88_082460,393,454,0.951878222,0.944389885
TGRH88_079370,394,310,0.951755463,0.962067272
TGRH88_029400,395,386,0.951632703,0.95273754
TGRH88_002700,396,485,0.951509944,0.940584336
TGRH88_053090,397,403,0.951387184,0.950650626
TGRH88_061740,398,442,0.951264424,0.945863
TGRH88_024520,399,387,0.951141665,0.95261478
TGRH88_055060,400,477,0.951018905,0.941566413
TGRH88_025700,401,342,0.950896145,0.958138964
TGRH88_019490,402,365,0.950773386,0.955315492
TGRH88_038790,403,524,0.950650626,0.93579671
TGRH88_012900,404,364,0.950527866,0.955438252
TGRH88_011650,405,332,0.950405107,0.95936656
TGRH88_083190,406,460,0.950282347,0.943653327
TGRH88_083130,407,430,0.950159588,0.947336116
TGRH88_062940,408,314,0.950036828,0.961576234
TGRH88_042750,409,395,0.949914068,0.951632703
TGRH88_074940,410,400,0.949791309,0.951018905
TGRH88_059310,411,470,0.949668549,0.94242573
TGRH88_033050,412,311,0.949545789,0.961944513
TGRH88_018720,413,560,0.94942303,0.931377363
TGRH88_017190,414,316,0.94930027,0.961330714
TGRH88_060980,415,377,0.94917751,0.953842377
TGRH88_024720,416,323,0.949054751,0.960471397
TGRH88_071080,417,380,0.948931991,0.953474098
TGRH88_029790,418,405,0.948809232,0.950405107
TGRH88_009450,419,659,0.948686472,0.919224159
TGRH88_068170,420,523,0.948563712,0.93591947
TGRH88_049630,421,531,0.948440953,0.934937393
TGRH88_061300,422,422,0.948318193,0.948318193
TGRH88_063030,423,330,0.948195433,0.95961208
TGRH88_026220,424,571,0.948072674,0.930027007
TGRH88_082160,425,544,0.947949914,0.933341517
TGRH88_071390,426,312,0.947827154,0.961821753
TGRH88_009640,427,613,0.947704395,0.924871102
TGRH88_034550,428,702,0.947581635,0.913945495
TGRH88_082060,429,297,0.947458876,0.963663148
TGRH88_030060,430,374,0.947336116,0.954210656
TGRH88_015160,431,344,0.947213356,0.957893445
TGRH88_011740,432,553,0.947090597,0.932236681
TGRH88_076440,433,368,0.946967837,0.954947213
TGRH88_031800,434,602,0.946845077,0.926221458
TGRH88_055180,435,354,0.946722318,0.956665848
TGRH88_046170,436,369,0.946599558,0.954824454
TGRH88_019140,437,519,0.946476798,0.936410508
TGRH88_063310,438,462,0.946354039,0.943407808
TGRH88_032690,439,594,0.946231279,0.927203535
TGRH88_009880,440,407,0.94610852,0.950159588
TGRH88_081940,441,481,0.94598576,0.941075374
TGRH88_047860,442,498,0.945863,0.938988461
TGRH88_034250,443,703,0.945740241,0.913822735
TGRH88_016240,444,499,0.945617481,0.938865701
TGRH88_010520,445,404,0.945494721,0.950527866
TGRH88_016890,446,415,0.945371962,0.94917751
TGRH88_046330,447,341,0.945249202,0.958261724
TGRH88_063090,448,327,0.945126442,0.959980358
TGRH88_045410,449,438,0.945003683,0.946354039
TGRH88_080150,450,317,0.944880923,0.961207955
TGRH88_018810,451,600,0.944758164,0.926466978
TGRH88_051570,452,371,0.944635404,0.954578934
TGRH88_033680,453,379,0.944512644,0.953596857
TGRH88_036570,454,419,0.944389885,0.948686472
TGRH88_013890,455,583,0.944267125,0.928553891
TGRH88_083000,456,537,0.944144365,0.934200835
TGRH88_005100,457,346,0.944021606,0.957647925
TGRH88_035780,458,381,0.943898846,0.953351338
TGRH88_070320,459,335,0.943776086,0.958998281
TGRH88_005020,460,457,0.943653327,0.944021606
TGRH88_031410,461,657,0.943530567,0.919469678
TGRH88_038820,462,504,0.943407808,0.938251903
TGRH88_019280,463,443,0.943285048,0.945740241
TGRH88_051360,464,394,0.943162288,0.951755463
TGRH88_078480,465,426,0.943039529,0.947827154
TGRH88_070040,466,500,0.942916769,0.938742941
TGRH88_003160,467,554,0.942794009,0.932113921
TGRH88_017000,468,372,0.94267125,0.954456175
TGRH88_071410,469,459,0.94254849,0.943776086
TGRH88_056600,470,569,0.94242573,0.930272526
TGRH88_049720,471,357,0.942302971,0.956297569
TGRH88_029930,472,373,0.942180211,0.954333415
TGRH88_072200,473,570,0.942057452,0.930149767
TGRH88_030360,474,359,0.941934692,0.95605205
TGRH88_043240,475,674,0.941811932,0.917382765
TGRH88_020900,476,448,0.941689173,0.945126442
TGRH88_027020,477,551,0.941566413,0.9324822
TGRH88_069220,478,445,0.941443653,0.945494721
TGRH88_012780,479,406,0.941320894,0.950282347
TGRH88_011260,480,576,0.941198134,0.929413209
TGRH88_070790,481,468,0.941075374,0.94267125
TGRH88_077470,482,469,0.940952615,0.94254849
TGRH88_019550,483,425,0.940829855,0.947949914
TGRH88_003630,484,393,0.940707096,0.951878222
TGRH88_042590,485,490,0.940584336,0.939970538
TGRH88_045370,486,617,0.940461576,0.924380064
TGRH88_076140,487,417,0.940338817,0.948931991
TGRH88_033120,488,494,0.940216057,0.939479499
TGRH88_049760,489,440,0.940093297,0.94610852
TGRH88_018090,490,616,0.939970538,0.924502823
TGRH88_017950,491,591,0.939847778,0.927571814
TGRH88_054260,492,578,0.939725018,0.92916769
TGRH88_053930,493,397,0.939602259,0.951387184
TGRH88_041830,494,491,0.939479499,0.939847778
TGRH88_071560,495,585,0.93935674,0.928308372
TGRH88_010880,496,610,0.93923398,0.925239381
TGRH88_036470,497,506,0.93911122,0.938006384
TGRH88_054170,498,464,0.938988461,0.943162288
TGRH88_001360,499,497,0.938865701,0.93911122
TGRH88_047510,500,444,0.938742941,0.945617481
TGRH88_020490,501,473,0.938620182,0.942057452
TGRH88_036380,502,389,0.938497422,0.952369261
TGRH88_007740,503,401,0.938374662,0.950896145
TGRH88_071220,504,447,0.938251903,0.945249202
TGRH88_051290,505,483,0.938129143,0.940829855
TGRH88_056040,506,522,0.938006384,0.936042229
TGRH88_003420,507,564,0.937883624,0.930886325
TGRH88_046790,508,382,0.937760864,0.953228578
TGRH88_036910,509,712,0.937638105,0.912717898
TGRH88_047700,510,441,0.937515345,0.94598576
TGRH88_018370,511,399,0.937392585,0.951141665
TGRH88_052830,512,378,0.937269826,0.953719617
TGRH88_061780,513,513,0.937147066,0.937147066
TGRH88_024500,514,527,0.937024306,0.935428431
TGRH88_042470,515,565,0.936901547,0.930763565
TGRH88_002490,516,496,0.936778787,0.93923398
TGRH88_051340,517,533,0.936656027,0.934691873
TGRH88_017600,518,532,0.936533268,0.934814633
TGRH88_011230,519,432,0.936410508,0.947090597
TGRH88_004430,520,661,0.936287749,0.91897864
TGRH88_019300,521,505,0.936164989,0.938129143
TGRH88_035750,522,667,0.936042229,0.918242082
TGRH88_021080,523,484,0.93591947,0.940707096
TGRH88_058010,524,589,0.93579671,0.927817334
TGRH88_083200,525,402,0.93567395,0.950773386
TGRH88_022280,526,416,0.935551191,0.949054751
TGRH88_014520,527,541,0.935428431,0.933709796
TGRH88_011480,528,582,0.935305671,0.928676651
TGRH88_009090,529,482,0.935182912,0.940952615
TGRH88_072490,530,542,0.935060152,0.933587037
TGRH88_065440,531,603,0.934937393,0.926098699
TGRH88_026330,532,677,0.934814633,0.917014486
TGRH88_042760,533,455,0.934691873,0.944267125
TGRH88_037000,534,420,0.934569114,0.948563712
TGRH88_010390,535,492,0.934446354,0.939725018
TGRH88_042520,536,467,0.934323594,0.942794009
TGRH88_074110,537,466,0.934200835,0.942916769
TGRH88_063800,538,535,0.934078075,0.934446354
TGRH88_050280,539,436,0.933955315,0.946599558
TGRH88_047770,540,698,0.933832556,0.914436533
TGRH88_055910,541,503,0.933709796,0.938374662
TGRH88_053680,542,429,0.933587037,0.947458876
TGRH88_035730,543,608,0.933464277,0.925484901
TGRH88_034370,544,557,0.933341517,0.931745642
TGRH88_030930,545,692,0.933218758,0.915173091
TGRH88_019310,546,588,0.933095998,0.927940093
TGRH88_009220,547,606,0.932973238,0.92573042
TGRH88_012690,548,701,0.932850479,0.914068254
TGRH88_058240,549,456,0.932727719,0.944144365
TGRH88_078540,550,656,0.932604959,0.919592438
TGRH88_006960,551,558,0.9324822,0.931622882
TGRH88_021260,552,790,0.93235944,0.903142647
TGRH88_036880,553,463,0.932236681,0.943285048
TGRH88_061930,554,641,0.932113921,0.921433833
TGRH88_077030,555,658,0.931991161,0.919346919
TGRH88_079490,556,683,0.931868402,0.916277928
TGRH88_076120,557,421,0.931745642,0.948440953
