Protein,VIKOR_Rank,EDAS_Rank,SPOTIS_Rank,Ranky_Score_Rank,Ranky_Rank,Borda_Score,Borda_Rank
TGRH88_018000,76,595,16,16,517,244,137
TGRH88_068780,264,418,157,157,224,244,137
TGRH88_087846,331,397,226,226,66,249.2,139
TGRH88_053560,372,240,269,269,103,250.6,140
TGRH88_031230,170,455,145,145,341,251.2,141
TGRH88_071350,257,610,150,150,104,254.2,142
TGRH88_057580,288,513,181,181,124,257.4,143
TGRH88_059230,217,637,117,117,199,257.4,143
TGRH88_066880,145,554,69,69,451,257.6,145
TGRH88_044870,368,261,265,265,138,259.4,146
TGRH88_063590,419,70,316,316,178,259.8,147
TGRH88_068380,46,236,439,439,150,262,148
TGRH88_033090,338,265,233,233,243,262.4,149
TGRH88_020280,244,338,252,252,235,264.2,150
TGRH88_003110,88,315,379,379,161,264.4,151
TGRH88_054950,314,198,331,331,149,264.6,152
TGRH88_044880,35,44,536,536,187,267.6,153
TGRH88_003140,106,782,30,30,392,268,154
TGRH88_052060,328,355,222,222,215,268.4,155
TGRH88_022760,201,229,398,398,118,268.8,156
TGRH88_007890,246,314,140,140,513,270.6,157
TGRH88_079030,100,79,401,401,372,270.6,157
TGRH88_064880,434,165,333,333,98,272.6,159
TGRH88_014760,39,110,479,479,259,273.2,160
TGRH88_076980,214,804,111,111,135,275,161
TGRH88_038830,97,20,613,613,32,275,161
TGRH88_041740,321,319,215,215,315,277,163
TGRH88_069820,441,175,341,341,88,277.2,164
TGRH88_056130,284,541,175,175,218,278.6,165
TGRH88_006850,305,278,200,200,415,279.6,166
TGRH88_013970,136,773,55,55,381,280,167
TGRH88_062770,291,507,185,185,233,280.2,168
TGRH88_028140,360,320,256,256,214,281.2,169
TGRH88_032900,154,827,66,66,296,281.8,170
TGRH88_031080,41,445,3,3,935,285.4,171
TGRH88_058310,348,403,240,240,206,287.4,172
TGRH88_058770,40,189,464,464,282,287.8,173
TGRH88_032250,311,435,205,205,295,290.2,174
TGRH88_043710,231,737,125,125,248,293.2,175
TGRH88_031000,324,280,219,219,425,293.4,176
TGRH88_037270,242,602,137,137,350,293.6,177
TGRH88_035020,21,52,625,625,154,295.4,178
TGRH88_032780,87,699,20,20,653,295.8,179
TGRH88_078780,295,648,189,189,159,296,180
TGRH88_022440,318,46,525,525,79,298.6,181
TGRH88_054280,394,276,288,288,251,299.4,182
TGRH88_057490,347,510,247,247,164,303,183
TGRH88_043060,471,114,370,370,205,306,184
TGRH88_042690,130,932,51,51,367,306.2,185
TGRH88_022900,403,191,300,300,337,306.2,185
TGRH88_061220,349,454,241,241,255,308,187
TGRH88_033260,458,164,357,357,211,309.4,188
TGRH88_073840,483,258,380,380,68,313.8,189
TGRH88_082060,533,150,432,432,28,315,190
TGRH88_063330,312,632,207,207,221,315.8,191
TGRH88_043360,376,432,272,272,244,319.2,192
TGRH88_049500,389,404,285,285,266,325.8,193
TGRH88_081970,304,793,199,199,136,326.2,194
TGRH88_012940,406,173,444,444,170,327.4,195
TGRH88_057360,259,769,151,151,320,330,196
TGRH88_026870,255,738,147,147,368,331,197
TGRH88_082000,308,812,202,202,147,334.2,198
TGRH88_015210,297,528,190,190,466,334.2,198
TGRH88_053710,163,1019,76,76,343,335.4,200
TGRH88_080150,543,186,446,446,72,338.6,201
TGRH88_019320,198,387,294,294,521,338.8,202
TGRH88_029560,121,481,102,102,891,339.4,203
TGRH88_011570,211,764,108,108,508,339.8,204
TGRH88_060660,167,718,159,160,499,340.6,205
TGRH88_030710,127,303,315,315,644,340.8,206
TGRH88_067200,53,81,577,577,436,344.8,207
TGRH88_034930,223,674,122,122,583,344.8,207
TGRH88_078610,197,524,112,112,787,346.4,209
TGRH88_078710,123,73,595,595,347,346.6,210
TGRH88_066420,159,1111,70,70,330,348,211
TGRH88_065100,445,65,584,584,65,348.6,212
TGRH88_075320,243,1040,138,138,195,350.8,213
TGRH88_063090,538,196,441,441,148,352.8,214
TGRH88_065140,299,892,193,193,192,353.8,215
TGRH88_066400,365,579,262,262,302,354,216
TGRH88_054630,490,356,388,388,155,355.4,217
TGRH88_071390,519,301,419,419,123,356.2,218
TGRH88_062830,260,900,152,152,317,356.2,218
TGRH88_036390,64,94,676,676,291,360.2,220
TGRH88_070320,558,254,459,459,71,360.2,220
TGRH88_003800,307,422,310,310,457,361.2,222
TGRH88_005800,464,183,364,364,438,362.6,223
TGRH88_071240,269,1071,163,163,183,369.8,224
TGRH88_033050,484,216,381,381,389,370.2,225
TGRH88_073560,480,450,376,376,202,376.8,226
TGRH88_017190,488,266,385,385,366,378,227
TGRH88_060710,280,935,171,171,349,381.2,228
TGRH88_038160,399,638,293,293,283,381.2,228
TGRH88_062940,494,412,392,392,220,382,230
TGRH88_024720,489,268,386,386,382,382.2,231
TGRH88_079370,503,570,402,402,49,385.2,232
TGRH88_068970,16,84,638,638,565,388.2,233
TGRH88_031180,431,405,329,329,471,393,234
TGRH88_065760,486,497,383,383,223,394.4,235
TGRH88_049490,103,92,761,761,256,394.6,236
TGRH88_019420,177,536,453,452,356,394.8,237
TGRH88_063030,465,253,434,434,391,395.4,238
TGRH88_070890,227,814,132,132,676,396.2,239
TGRH88_039600,436,436,336,336,437,396.2,239
TGRH88_035600,179,700,313,313,478,396.6,241
TGRH88_064800,398,650,292,292,365,399.4,242
TGRH88_074990,134,88,750,750,276,399.6,243
TGRH88_046330,521,316,421,421,327,401.2,244
TGRH88_010160,411,357,306,306,646,405.2,245
TGRH88_066240,28,48,735,735,480,405.2,245
TGRH88_049720,554,298,455,455,275,407.4,247
TGRH88_056280,274,734,208,208,621,409,248
TGRH88_059290,301,979,196,196,373,409,248
TGRH88_014800,178,86,699,699,384,409.2,250
TGRH88_005100,523,180,423,423,505,410.8,251
TGRH88_052830,602,200,503,503,247,411,252
TGRH88_032820,150,2,62,62,1790,413.2,253
TGRH88_020340,131,83,721,721,416,414.4,254
TGRH88_064400,68,166,760,760,318,414.4,254
TGRH88_052840,282,839,281,281,404,417.4,256
TGRH88_039690,222,1109,121,121,519,418.4,257
TGRH88_037860,144,1434,58,58,406,420,258
TGRH88_004990,459,29,359,359,901,421.4,259
TGRH88_004340,122,51,826,826,287,422.4,260
TGRH88_008540,374,662,387,387,303,422.6,261
TGRH88_030100,85,586,502,502,442,423.4,262
TGRH88_052790,234,1271,128,128,357,423.6,263
TGRH88_046790,595,78,496,496,464,425.8,264
TGRH88_068420,364,521,276,276,695,426.4,265
TGRH88_004280,84,185,686,686,491,426.4,265
TGRH88_015160,493,425,391,391,441,428.2,267
TGRH88_030360,540,329,442,442,388,428.2,267
TGRH88_053640,251,702,155,155,894,431.4,269
TGRH88_076120,671,234,565,565,127,432.4,270
TGRH88_004160,186,768,105,105,1004,433.6,271
TGRH88_077440,410,578,410,410,360,433.6,271
TGRH88_011860,176,944,264,264,520,433.6,271
TGRH88_011650,454,306,354,354,703,434.2,274
TGRH88_012700,676,169,570,570,190,435,275
TGRH88_071710,63,331,726,726,354,440,276
TGRH88_059040,724,154,623,623,81,441,277
TGRH88_063220,315,512,481,481,422,442.2,278
TGRH88_036380,567,168,604,604,277,444,279
TGRH88_008470,265,385,160,159,1261,446,280
TGRH88_083200,620,388,521,521,182,446.4,281
TGRH88_065850,461,885,361,361,169,447.4,282
TGRH88_029930,545,477,448,448,335,450.6,283
TGRH88_021060,350,669,242,242,759,452.4,284
TGRH88_081130,276,30,168,168,1625,453.4,285
TGRH88_057520,358,863,255,255,539,454,286
TGRH88_017000,520,296,420,420,636,458.4,287
TGRH88_055180,498,622,396,396,386,459.6,288
TGRH88_038690,17,56,925,925,378,460.2,289
TGRH88_018370,564,54,753,753,185,461.8,290
TGRH88_069440,158,108,884,884,286,464,291
TGRH88_018870,224,361,506,506,731,465.6,292
TGRH88_068510,392,572,334,334,697,465.8,293
TGRH88_037000,618,379,519,519,304,467.8,294
TGRH88_015010,245,1037,139,139,799,471.8,295
TGRH88_022280,599,275,499,499,489,472.2,296
TGRH88_053680,612,232,514,514,498,474,297
TGRH88_046840,202,337,649,649,534,474.2,298
TGRH88_070730,166,1732,78,78,322,475.2,299
TGRH88_051570,527,691,427,427,312,476.8,300
TGRH88_053930,561,423,461,461,482,477.6,301
TGRH88_025700,435,608,335,335,677,478,302
TGRH88_007740,569,307,468,468,580,478.4,303
TGRH88_020990,682,214,576,576,351,479.8,304
TGRH88_074850,11,76,994,994,338,482.6,305
TGRH88_050280,611,366,513,513,420,484.6,306
TGRH88_061600,20,50,1009,1009,342,486,307
TGRH88_025270,335,975,230,230,662,486.4,308
TGRH88_067280,699,312,597,597,271,495.2,309
TGRH88_036360,241,1357,136,136,606,495.2,309
TGRH88_075420,777,190,673,673,166,495.8,311
TGRH88_077450,169,222,91,91,1911,496.8,312
TGRH88_079510,261,1670,153,153,252,497.8,313
TGRH88_074310,237,1560,133,133,431,498.8,314
TGRH88_062530,105,158,1049,1049,160,504.2,315
TGRH88_033680,506,719,405,405,503,507.6,316
TGRH88_035780,499,615,397,397,635,508.6,317
TGRH88_046170,466,673,365,365,675,508.8,318
TGRH88_003630,528,269,428,428,893,509.2,319
TGRH88_011230,575,308,477,477,717,510.8,320
TGRH88_050300,196,239,788,788,552,512.6,321
TGRH88_076440,517,992,417,417,239,516.4,322
TGRH88_031240,775,90,671,670,376,516.4,322
TGRH88_076140,500,326,677,677,403,516.6,324
TGRH88_038110,648,392,545,545,458,517.6,325
TGRH88_012900,325,167,731,731,634,517.6,325
TGRH88_057230,111,1016,471,471,543,522.4,327
TGRH88_067220,303,817,214,214,1064,522.4,327
TGRH88_052210,656,444,555,555,408,523.6,329
TGRH88_015150,67,63,999,999,504,526.4,330
TGRH88_015180,277,1113,169,169,904,526.4,330
TGRH88_042190,720,219,620,620,461,528,332
TGRH88_002100,195,1101,358,358,633,529,333
TGRH88_051360,513,748,412,412,574,531.8,334
TGRH88_030060,453,665,353,353,843,533.4,335
TGRH88_061530,790,270,690,690,229,533.8,336
TGRH88_001180,180,428,641,641,783,534.6,337
TGRH88_023550,624,540,704,704,116,537.6,338
TGRH88_033820,828,144,724,724,273,538.6,339
TGRH88_063740,900,135,796,796,83,542,340
TGRH88_041970,326,1166,220,220,781,542.6,341
TGRH88_073490,258,619,489,489,859,542.8,342
TGRH88_012780,509,607,406,406,791,543.8,343
TGRH88_046270,151,1635,64,64,808,544.4,344
TGRH88_078740,449,1170,348,348,423,547.6,345
TGRH88_027150,781,194,679,679,418,550.2,346
TGRH88_081140,769,89,666,666,564,550.8,347
TGRH88_047700,479,152,738,738,649,551.2,348
TGRH88_022500,171,1589,81,81,839,552.2,349
TGRH88_058240,600,495,500,500,666,552.2,349
TGRH88_083260,206,1906,103,103,448,553.2,351
TGRH88_036880,621,569,523,523,533,553.8,352
TGRH88_033380,634,567,537,537,501,555.2,353
TGRH88_054390,729,124,916,916,111,559.2,354
TGRH88_020270,636,39,962,962,228,565.4,355
TGRH88_024870,330,1192,225,225,864,567.2,356
TGRH88_039670,74,318,893,893,672,570,357
TGRH88_019490,429,987,328,328,780,570.4,358
TGRH88_078760,452,1325,352,352,375,571.2,359
TGRH88_047500,672,573,566,566,495,574.4,360
TGRH88_016890,386,409,837,837,409,575.6,361
TGRH88_071220,447,487,587,587,770,575.6,361
TGRH88_000070,622,201,524,524,1011,576.4,363
TGRH88_005480,219,182,1130,1130,222,576.6,364
TGRH88_036570,367,181,856,856,629,577.8,365
TGRH88_042760,573,631,475,475,736,578,366
TGRH88_024520,240,231,896,896,637,580,367
TGRH88_019550,501,636,399,399,971,581.2,368
TGRH88_001120,725,68,1022,1022,70,581.4,369
TGRH88_047510,566,956,467,466,465,584,370
TGRH88_036400,755,515,652,652,352,585.2,371
TGRH88_070750,212,1918,109,109,579,585.4,372
TGRH88_023100,763,141,660,660,704,585.6,373
TGRH88_068720,1002,103,899,899,35,587.6,374
TGRH88_081050,868,321,766,766,227,589.6,375
TGRH88_060980,440,1041,340,340,796,591.4,376
TGRH88_055960,652,272,876,876,284,592,377
TGRH88_029400,92,174,982,982,743,594.6,378
TGRH88_055070,784,297,682,682,531,595.2,379
TGRH88_029790,313,426,821,821,596,595.4,380
TGRH88_028570,948,136,848,848,198,595.6,381
TGRH88_070130,817,170,911,911,172,596.2,382
TGRH88_063980,80,99,1090,1090,638,599.4,383
TGRH88_071080,448,1172,346,346,686,599.6,384
TGRH88_042520,593,853,494,494,568,600.4,385
TGRH88_070330,149,2197,61,61,549,603.4,386
TGRH88_067520,333,1622,228,228,619,606,387
TGRH88_074110,619,1052,520,520,324,607,388
TGRH88_010520,462,941,362,362,920,609.4,389
TGRH88_049760,515,807,415,415,895,609.4,389
TGRH88_009880,220,575,558,558,1139,610,391
TGRH88_029130,310,1250,204,204,1091,611.8,392
TGRH88_072750,164,2193,77,77,557,613.6,393
TGRH88_061370,623,732,526,526,682,617.8,394
TGRH88_079070,160,147,1096,1096,603,620.4,395
TGRH88_054920,654,609,553,553,739,621.6,396
TGRH88_066010,955,210,854,854,238,622.2,397
TGRH88_078480,502,1177,400,400,639,623.6,398
TGRH88_020940,767,212,664,664,831,627.6,399
TGRH88_082240,289,2086,183,183,401,628.4,400
TGRH88_048810,393,1193,287,287,995,631,401
TGRH88_040700,75,474,1000,1000,615,632.8,402
TGRH88_059440,826,518,722,722,377,633,403
TGRH88_049340,870,293,767,767,472,633.8,404
TGRH88_067440,690,723,588,588,585,634.8,405
TGRH88_046880,173,1880,82,82,969,637.2,406
TGRH88_067150,785,649,684,684,387,637.8,407
TGRH88_045810,559,359,706,706,872,640.4,408
TGRH88_024210,849,242,850,850,419,642,409
TGRH88_064950,638,796,538,538,709,643.8,410
TGRH88_026650,800,343,698,698,687,645.2,411
TGRH88_007980,642,335,540,540,1170,645.4,412
TGRH88_076820,698,720,596,596,630,648,413
TGRH88_020490,306,332,741,741,1133,650.6,414
TGRH88_075800,643,1005,542,542,545,655.4,415
TGRH88_071270,649,949,547,547,600,658.4,416
TGRH88_034950,709,434,606,606,941,659.2,417
TGRH88_069220,514,1305,413,413,660,661,418
TGRH88_034980,737,621,632,632,683,661,418
TGRH88_050640,334,1537,229,229,977,661.2,420
TGRH88_017130,256,1619,148,148,1137,661.6,421
TGRH88_033270,279,1740,170,170,960,663.8,422
TGRH88_074920,692,537,627,627,855,667.6,423
TGRH88_064020,891,553,866,866,163,667.8,424
TGRH88_040570,592,825,493,493,937,668,425
TGRH88_041430,361,1515,258,258,957,669.8,426
TGRH88_041390,675,663,569,569,885,672.2,427
TGRH88_026090,247,1142,149,149,1678,673,428
TGRH88_037620,667,967,739,739,258,674,429
TGRH88_079340,183,2001,88,88,1016,675.2,430
TGRH88_037520,712,654,611,611,793,676.2,431
TGRH88_071620,738,582,634,634,814,680.4,432
TGRH88_037910,551,115,1040,1040,657,680.6,433
TGRH88_034160,317,1541,210,210,1125,680.6,433
TGRH88_012390,590,543,491,490,1291,681,435
TGRH88_061500,666,830,563,562,789,682,436
TGRH88_042750,421,1328,319,319,1024,682.2,437
TGRH88_054170,526,1164,426,426,871,682.6,438
TGRH88_057870,322,1712,217,217,947,683,439
TGRH88_049900,696,678,593,593,857,683.4,440
TGRH88_053330,579,916,585,585,753,683.6,441
TGRH88_020900,424,977,437,437,1149,684.8,442
TGRH88_019280,477,895,375,375,1308,686,443
TGRH88_039160,657,762,556,556,913,688.8,444
TGRH88_021040,814,300,855,855,626,690,445
TGRH88_039620,942,564,843,843,264,691.2,446
TGRH88_083130,36,133,1327,1327,652,695,447
TGRH88_031380,926,241,824,824,670,697,448
TGRH88_045900,185,2050,90,90,1073,697.6,449
TGRH88_039120,973,271,870,870,516,700,450
TGRH88_009090,548,800,451,451,1255,701,451
TGRH88_010170,172,179,1453,1453,261,703.6,452
TGRH88_073470,596,642,497,497,1300,706.4,453
TGRH88_062710,380,1810,277,277,797,708.2,454
TGRH88_006570,249,1533,142,142,1480,709.2,455
TGRH88_074940,437,1770,338,338,671,710.8,456
TGRH88_081010,885,566,783,783,541,711.6,457
TGRH88_057000,910,448,805,805,591,711.8,458
TGRH88_068860,1024,309,921,921,385,712,459
TGRH88_003600,90,126,1447,1447,453,712.6,460
TGRH88_015950,584,601,511,511,1358,713,461
TGRH88_045410,460,1426,360,360,963,713.8,462
TGRH88_081280,677,1093,571,571,658,714,463
TGRH88_040910,6,60,1528,1528,462,716.8,464
TGRH88_012510,684,805,579,579,949,719.2,465
TGRH88_058920,316,1797,209,209,1085,723.2,466
TGRH88_015880,94,1948,25,25,1531,724.6,467
TGRH88_036870,147,2071,59,59,1288,724.8,468
TGRH88_010210,469,279,953,953,972,725.2,469
TGRH88_021080,544,1137,447,447,1051,725.2,469
TGRH88_053090,414,1526,309,309,1075,726.6,471
TGRH88_071410,344,1359,551,551,830,727,472
TGRH88_076000,418,1803,314,314,786,727,472
TGRH88_052010,929,373,827,827,685,728.2,474
TGRH88_049350,632,568,868,868,722,731.6,475
TGRH88_046320,1062,192,959,959,487,731.8,476
TGRH88_047280,653,143,1019,1019,826,732,477
TGRH88_038960,351,1626,243,243,1199,732.4,478
TGRH88_055910,529,1303,535,535,761,732.6,479
TGRH88_077710,597,618,533,533,1387,733.6,480
TGRH88_010390,598,1575,498,498,506,735,481
TGRH88_067240,798,1065,810,810,197,736,482
TGRH88_063310,203,139,1356,1356,628,736.4,483
TGRH88_079410,369,1999,266,266,784,736.8,484
TGRH88_034180,818,459,714,714,980,737,485
TGRH88_080510,886,634,972,972,225,737.8,486
TGRH88_021940,858,401,1035,1035,363,738.4,487
TGRH88_034860,1076,71,1211,1211,125,738.8,488
TGRH88_034220,581,1146,484,484,1003,739.6,489
TGRH88_079750,850,820,746,746,538,740,490
TGRH88_005020,373,1255,483,483,1107,740.2,491
TGRH88_068940,680,995,574,574,878,740.2,491
TGRH88_005880,354,1284,248,248,1569,740.6,493
TGRH88_029500,283,1836,173,173,1264,745.8,494
TGRH88_039860,1085,209,1187,1187,63,746.2,495
TGRH88_030970,290,1784,184,184,1290,746.4,496
TGRH88_034260,1135,120,1037,1037,417,749.2,497
TGRH88_061300,470,2022,369,369,518,749.6,498
TGRH88_077470,491,880,389,389,1611,752,499
TGRH88_040440,810,685,708,708,874,757,500
TGRH88_069070,1270,82,1162,1162,114,758,501
TGRH88_074190,951,624,851,851,514,758.2,502
TGRH88_070790,496,1495,394,394,1015,758.8,503
TGRH88_035340,577,284,1059,1059,817,759.2,504
TGRH88_033120,133,127,1365,1365,806,759.2,504
TGRH88_063140,952,552,852,852,597,761,506
TGRH88_010530,582,345,882,882,1116,761.4,507
TGRH88_044910,1072,207,973,973,589,762.8,508
TGRH88_044700,889,605,786,786,762,765.6,509
TGRH88_054770,897,706,988,988,250,765.8,510
TGRH88_052900,746,1360,642,642,445,767,511
TGRH88_054360,568,391,1039,1039,811,769.6,512
TGRH88_032720,1039,36,1364,1364,61,772.8,513
TGRH88_021610,778,850,674,674,889,773,514
TGRH88_023740,181,2137,86,86,1380,774,515
TGRH88_063760,1191,363,1092,1092,132,774,515
TGRH88_015120,1206,159,1107,1107,299,775.6,517
TGRH88_048420,645,205,1206,1206,617,775.8,518
TGRH88_029640,668,140,1061,1061,950,776,519
TGRH88_042260,892,751,789,789,669,778,520
TGRH88_062170,323,2041,218,218,1093,778.6,521
TGRH88_017920,371,1386,268,268,1604,779.4,522
TGRH88_004290,359,1369,320,320,1539,781.4,523
TGRH88_058100,961,591,858,858,642,782,524
TGRH88_048920,23,64,1857,1857,110,782.2,525
TGRH88_002490,531,947,430,430,1579,783.4,526
TGRH88_079880,47,21,1849,1849,152,783.6,527
TGRH88_021240,686,754,930,930,623,784.6,528
TGRH88_028420,856,390,752,752,1180,786,529
TGRH88_034580,805,530,703,703,1207,789.6,530
TGRH88_019300,537,901,440,440,1630,789.6,530
TGRH88_072490,140,151,1370,1370,934,793,532
TGRH88_018960,1033,707,934,934,362,794,533
TGRH88_051290,565,1970,466,467,502,794,533
TGRH88_059600,157,2485,68,68,1193,794.2,535
TGRH88_067720,839,811,734,734,866,796.8,536
TGRH88_018800,342,1498,237,237,1679,798.6,537
TGRH88_005730,995,658,964,964,428,801.8,538
TGRH88_036430,1087,488,1004,1004,429,802.4,539
TGRH88_056110,1120,378,1024,1024,481,805.4,540
TGRH88_034110,309,1885,203,203,1432,806.4,541
TGRH88_074580,1129,547,1085,1085,193,807.8,542
TGRH88_068460,993,559,890,890,715,809.4,543
TGRH88_019050,1115,206,1018,1018,699,811.2,544
TGRH88_013620,752,779,648,648,1236,812.6,545
TGRH88_076620,861,809,978,978,439,813,546
TGRH88_059790,363,2132,260,260,1068,816.6,547
TGRH88_081210,773,1152,668,668,823,816.8,548
TGRH88_045230,799,596,697,697,1305,818.8,549
TGRH88_078670,996,348,1275,1275,200,818.8,549
TGRH88_047940,22,58,1977,1977,62,819.2,551
TGRH88_027930,1038,380,938,938,804,819.6,552
TGRH88_001610,451,257,1255,1255,896,822.8,553
