Conf_B,Tz_RNA,Linear_B,Net_C,T-cell Score,Exposed,GRAVY,Protein
7097.0,4647.0,5404.5,2643.5,3752.0,6235.5,6553.0,TGRH88_000410
3092.0,256.0,5404.5,2914.5,6111.0,6235.5,7725.0,TGRH88_000420
7097.0,7689.5,5404.5,7223.5,7647.5,6235.5,250.5,TGRH88_000430
201.0,3907.0,5404.5,2260.0,5387.0,6235.5,7228.5,TGRH88_000440
7097.0,529.5,5404.5,546.5,4644.5,3775.0,5712.5,TGRH88_000450
3364.5,2727.0,5404.5,3911.5,3276.5,6235.5,1742.0,TGRH88_000460
5977.5,7077.0,5404.5,7643.5,8047.0,2843.5,614.0,TGRH88_000470
4529.5,5984.5,5404.5,7183.0,3071.0,6235.5,4744.0,TGRH88_000480
160.5,5928.0,2321.0,7052.0,4463.0,6235.5,6698.0,TGRH88_000490
7097.0,7689.5,346.5,359.0,2897.0,6235.5,7671.0,TGRH88_000500
3583.5,4515.5,2509.5,2051.0,6012.0,6235.5,5528.5,TGRH88_000510
7097.0,7689.5,2252.5,4667.0,8047.0,2574.0,982.5,TGRH88_000520
2204.0,1353.0,5404.5,7780.0,5436.5,6235.5,2727.0,TGRH88_000530
3254.0,512.0,5404.5,5219.0,1011.5,6235.5,1443.0,TGRH88_000540
2441.0,1166.5,5404.5,4175.0,6340.5,678.0,2479.0,TGRH88_000550
6025.0,2424.0,5404.5,5621.0,4857.5,3989.5,1487.0,TGRH88_000560
7097.0,7689.5,5404.5,2994.5,2141.5,6235.5,7679.0,TGRH88_000570
4153.5,728.0,1120.5,7132.0,6668.0,6235.5,2989.0,TGRH88_000580
4419.5,1468.5,5404.5,7999.5,1569.5,1860.5,1260.5,TGRH88_000590
1928.0,2298.5,5404.5,3006.0,4998.0,3423.0,4234.5,TGRH88_000600
959.5,4330.0,5404.5,6089.0,4144.5,6235.5,6251.0,TGRH88_000610
1787.0,2250.0,2392.0,3100.5,5921.5,6235.5,4710.5,TGRH88_000620
1730.0,6842.5,5404.5,1066.5,4418.5,6235.5,5962.5,TGRH88_000630
2622.0,4900.5,2454.0,917.5,5308.5,6235.5,7855.0,TGRH88_000640
7097.0,2727.0,80.0,4276.5,2773.5,3775.0,6242.5,TGRH88_000650
5117.0,5443.5,1165.0,5163.0,6648.0,6235.5,6380.5,TGRH88_000660
2237.0,407.0,5404.5,2440.0,6261.5,6235.5,1844.0,TGRH88_000670
635.0,5759.5,5404.5,865.5,2871.5,6235.5,6149.0,TGRH88_000680
506.0,3416.5,245.5,2384.0,3007.0,6235.5,7294.0,TGRH88_000690
7097.0,3795.5,5404.5,3067.5,340.5,2052.5,6929.5,TGRH88_000710
89.0,1810.5,1829.0,1702.0,3135.0,3315.0,6028.5,TGRH88_000720
7097.0,3231.0,5404.5,2877.0,1442.5,6235.5,7425.0,TGRH88_000730
1128.0,5702.0,5404.5,308.0,4934.0,3244.5,7761.5,TGRH88_000740
1224.0,1133.5,2321.0,476.5,3940.0,6235.5,6497.0,TGRH88_000750
7097.0,7689.5,5404.5,319.5,7931.5,6235.5,8136.0,TGRH88_000760
3468.0,6394.5,5404.5,2149.5,5807.0,6235.5,5406.0,TGRH88_000770
7097.0,1608.5,5404.5,959.0,1518.0,3989.5,445.0,TGRH88_000780
5051.5,3685.0,5404.5,7132.0,5943.0,678.0,181.0,TGRH88_000790
7097.0,1252.5,222.5,2032.5,270.0,2248.0,2835.0,TGRH88_000800
7097.0,3505.0,5404.5,1168.5,640.0,6235.5,5962.5,TGRH88_000810
7097.0,4394.0,1050.0,1633.5,823.5,2020.5,4808.0,TGRH88_000820
4760.5,5043.0,5404.5,7352.0,5055.5,3258.5,2179.5,TGRH88_000830
2468.5,6842.5,1167.5,4945.0,5898.5,6235.5,2767.0,TGRH88_000840
7097.0,7689.5,916.5,2949.0,7891.5,6235.5,6926.0,TGRH88_000850
5894.5,7077.0,1723.5,2429.5,7193.0,6235.5,7791.0,TGRH88_000860
7097.0,1810.5,5404.5,1571.5,3007.0,2955.5,6233.0,TGRH88_000870
4872.5,5634.0,5404.5,4471.0,586.0,6235.5,6028.5,TGRH88_000880
4153.5,4900.5,5404.5,5054.5,5595.5,6235.5,3096.5,TGRH88_000890
4552.5,2424.0,5404.5,5032.0,4965.5,1165.5,412.0,TGRH88_000900
5158.5,1150.5,5404.5,7753.5,8047.0,4232.0,4913.0,TGRH88_000910
7097.0,6842.5,5404.5,6031.0,3933.0,6235.5,4716.0,TGRH88_000920
2987.5,4451.5,5404.5,4978.0,7630.0,2482.0,3420.0,TGRH88_000930
3843.5,7689.5,2252.5,3236.5,4246.0,1026.0,3327.0,TGRH88_000940
7097.0,3743.0,5404.5,2533.0,613.0,2674.5,2732.5,TGRH88_000950
3644.5,1710.0,5404.5,2624.0,3583.5,6235.5,7256.5,TGRH88_000960
3944.0,4330.0,5404.5,3455.5,7252.5,6235.5,7314.0,TGRH88_000970
1860.5,5105.5,5404.5,5639.0,6610.0,6235.5,7358.5,TGRH88_000980
1590.5,1886.5,5404.5,6192.0,3112.0,6235.5,3202.5,TGRH88_000990
1751.5,2934.0,1271.5,6952.5,4878.5,6235.5,7548.0,TGRH88_001000
2705.0,5105.5,5404.5,1522.0,4277.5,6235.5,5993.0,TGRH88_001010
2631.5,3541.5,5404.5,5820.5,2742.0,3775.0,784.5,TGRH88_001020
7097.0,4582.0,5404.5,2149.5,3975.5,6235.5,6247.0,TGRH88_001030
5723.0,3273.5,5404.5,3911.5,5706.0,3398.0,1164.5,TGRH88_001040
7097.0,2443.0,5404.5,2280.0,3653.5,6235.5,6529.5,TGRH88_001050
7097.0,7689.5,5404.5,3157.0,1552.5,678.0,4355.5,TGRH88_001060
1984.0,2794.0,5404.5,6235.0,4167.5,6235.5,2428.5,TGRH88_001070
7097.0,7689.5,5404.5,6134.5,7359.0,2836.0,154.0,TGRH88_001080
5513.0,7077.0,5404.5,6870.0,7170.5,2108.5,700.0,TGRH88_001090
7097.0,7689.5,696.5,6834.0,4014.5,2233.0,4493.5,TGRH88_001100
6045.0,1869.5,5404.5,8096.5,7647.5,678.0,149.5,TGRH88_001110
1568.0,1935.5,215.0,3442.5,1789.0,2972.0,3471.0,TGRH88_001120
3503.5,1648.5,1472.0,3379.5,6820.0,6235.5,7764.0,TGRH88_001130
264.0,3962.0,1505.0,3067.5,1371.0,3207.0,5159.5,TGRH88_001140
4517.0,3315.0,1095.5,4565.5,5579.5,3989.5,6451.0,TGRH88_001150
1279.5,4709.5,1505.0,1868.5,1779.5,3697.0,4358.0,TGRH88_001160
1998.0,5443.5,1546.5,226.0,1622.5,6235.5,3807.5,TGRH88_001170
5721.5,3795.5,1605.0,5777.0,3895.0,1255.0,824.0,TGRH88_001180
4226.0,705.5,5404.5,4667.0,5943.0,678.0,1158.5,TGRH88_001190
4500.0,4451.5,944.5,1317.5,5614.5,6235.5,5137.0,TGRH88_001200
2384.5,6481.0,2392.0,5198.5,3112.0,3989.5,2683.5,TGRH88_001210
3301.5,4258.0,5404.5,3307.0,2745.5,6235.5,4637.0,TGRH88_001220
2470.0,4330.0,5404.5,1748.5,4051.0,1339.5,327.0,TGRH88_001230
3804.5,4258.0,5404.5,2726.5,4890.0,6235.5,1365.5,TGRH88_001240
1030.5,95.5,5404.5,2877.0,6957.5,6235.5,2419.5,TGRH88_001250
7097.0,3109.5,2651.0,636.0,471.0,3440.5,2912.5,TGRH88_001260
207.5,1353.0,5404.5,3571.5,3465.0,6235.5,5492.0,TGRH88_001270
3638.5,2397.5,5404.5,1393.0,2350.0,6235.5,5990.0,TGRH88_001280
7097.0,5928.0,2321.0,5479.0,3641.0,6235.5,6866.5,TGRH88_001290
5622.5,6481.0,5404.5,7753.5,8047.0,1026.0,19.0,TGRH88_001300
3410.0,2967.0,5404.5,7643.5,5184.0,2600.5,534.5,TGRH88_001310
3627.0,3743.0,5404.5,5408.5,7370.0,6235.5,4315.0,TGRH88_001320
5592.0,2468.5,5404.5,4620.0,7349.0,6235.5,4566.0,TGRH88_001330
7097.0,3962.0,5404.5,983.0,1917.5,1722.0,7087.5,TGRH88_001340
5216.0,6589.0,467.0,3379.5,7693.0,2266.0,7769.0,TGRH88_001350
1611.0,3464.0,5404.5,7199.5,2433.5,191.5,474.0,TGRH88_001360
7097.0,7689.5,5404.5,100.0,3570.0,6235.5,7759.0,TGRH88_001370
1853.0,6152.5,5404.5,4715.0,4808.0,3148.5,3261.0,TGRH88_001380
2099.5,1417.0,5404.5,4960.0,5113.5,6235.5,7850.0,TGRH88_001390
2440.0,2131.0,5404.5,6255.0,3407.0,6235.5,1990.0,TGRH88_001400
7097.0,6481.0,5404.5,628.0,6111.0,678.0,4759.0,TGRH88_001410
2867.5,1312.5,5404.5,3860.0,285.0,3989.5,1339.5,TGRH88_001420
2571.0,6324.0,5404.5,2676.5,5429.5,6235.5,2638.5,TGRH88_001430
3004.5,4582.0,5404.5,3745.5,4900.5,6235.5,4103.5,TGRH88_001440
1209.5,4394.0,5404.5,858.5,4395.0,678.0,1406.0,TGRH88_001450
4522.5,2500.0,5404.5,5178.5,1664.0,678.0,211.0,TGRH88_001460
622.5,3685.0,5404.5,2408.5,3992.0,678.0,707.0,TGRH88_001470
7097.0,2967.0,5404.5,3530.0,347.5,3989.5,1847.0,TGRH88_001480
7097.0,2014.5,2392.0,1347.0,131.0,2436.0,2093.0,TGRH88_001490
1179.0,6842.5,1622.5,7132.0,4219.0,6235.5,4934.0,TGRH88_001500
2658.5,1272.0,5404.5,4471.0,1472.5,6235.5,2636.0,TGRH88_001510
7097.0,1509.0,5404.5,8028.0,98.0,6235.5,2344.5,TGRH88_001520
3457.5,620.5,5404.5,3379.5,4664.5,2878.0,1594.5,TGRH88_001530
5316.5,740.5,5404.5,7847.5,7449.5,6235.5,3066.0,TGRH88_001540
2445.0,261.0,5404.5,1814.0,3007.0,6235.5,6404.0,TGRH88_001550
4540.0,1886.5,936.5,5602.5,4176.0,6235.5,912.0,TGRH88_001560
7097.0,7689.5,5404.5,3586.5,6490.5,1704.5,7407.0,TGRH88_001570
7097.0,2063.0,5404.5,3236.5,240.0,3989.5,4125.5,TGRH88_001580
2381.0,1835.5,2454.0,5311.0,2994.5,2603.5,2771.0,TGRH88_001590
5834.5,1509.0,5404.5,7473.5,2631.5,2983.0,1320.0,TGRH88_001600
1993.0,1557.5,526.0,2123.5,7240.0,1165.5,4278.5,TGRH88_001610
2951.5,6842.5,1848.0,4422.0,7201.0,191.5,7074.0,TGRH88_001620
2106.5,5634.0,5404.5,5279.5,2914.5,2868.5,3261.0,TGRH88_001630
4097.0,3850.5,5404.5,3168.5,2884.0,3385.0,842.5,TGRH88_001640
2784.5,2592.0,5404.5,5408.5,2152.5,6235.5,3149.0,TGRH88_001650
2173.0,4973.0,2252.5,7933.5,790.5,3989.5,1204.5,TGRH88_001660
5753.5,1855.5,5404.5,5145.5,5888.0,6235.5,1479.5,TGRH88_001670
3500.5,6100.0,973.0,5524.0,5888.0,6235.5,5650.0,TGRH88_001680
2971.5,6260.5,5404.5,3940.5,4167.5,6235.5,4297.0,TGRH88_001690
503.0,2500.0,2598.5,1466.5,4878.5,6235.5,7581.0,TGRH88_001700
5233.0,1221.0,1646.5,6320.5,5867.0,678.0,709.0,TGRH88_001710
4587.5,970.5,5404.5,5582.5,7382.5,2528.0,245.0,TGRH88_001720
4258.5,4394.0,2321.0,6172.0,3881.5,6235.5,5483.5,TGRH88_001730
6037.5,7077.0,5404.5,7712.0,8047.0,2682.5,1753.0,TGRH88_001740
1867.5,7077.0,5404.5,3678.0,4965.5,6235.5,6203.0,TGRH88_001750
4060.5,898.0,1665.0,7643.5,5910.0,6235.5,7652.5,TGRH88_001760
3982.0,326.0,1987.0,2914.5,6633.5,6235.5,3049.5,TGRH88_001770
7097.0,3109.5,5404.5,2164.5,110.0,1026.0,1771.0,TGRH88_001780
5121.0,507.0,5404.5,6467.5,7549.0,6235.5,4067.5,TGRH88_001790
7097.0,499.0,5404.5,182.0,618.5,6235.5,5755.5,TGRH88_001800
783.5,4767.5,5404.5,6716.5,5274.0,6235.5,6444.0,TGRH88_001810
6044.0,598.0,5404.5,7780.0,5214.0,6235.5,1473.0,TGRH88_001820
5090.5,6705.5,2011.5,5683.0,7821.5,6235.5,7892.5,TGRH88_001830
4208.5,1886.5,5404.5,2348.0,5648.5,1488.5,1633.0,TGRH88_001840
436.5,5634.0,5404.5,7010.0,3664.5,6235.5,5169.5,TGRH88_001850
4466.0,1281.5,5404.5,3844.0,5513.0,6235.5,2383.5,TGRH88_001860
7097.0,5247.5,5404.5,2149.5,522.5,678.0,677.5,TGRH88_001900
3923.0,208.0,2392.0,5090.5,4101.5,6235.5,4073.5,TGRH88_001910
7097.0,7689.5,5404.5,5505.0,8047.0,3498.5,6860.5,TGRH88_001920
3161.5,167.0,5404.5,4997.0,1086.0,1109.5,3601.0,TGRH88_001930
1320.0,3907.0,2555.5,7473.5,5064.5,6235.5,3352.5,TGRH88_001940
3503.5,7077.0,853.5,2937.5,5113.5,191.5,4427.5,TGRH88_001950
4186.0,3586.0,5404.5,2514.0,6590.0,2755.0,2115.5,TGRH88_001960
7097.0,5820.0,5404.5,7183.0,1431.0,6235.5,5211.5,TGRH88_001970
598.5,898.0,5404.5,6890.0,2282.5,6235.5,5935.5,TGRH88_001980
5161.5,1521.0,739.5,4667.0,3031.5,6235.5,4283.0,TGRH88_001990
5973.0,3633.5,5404.5,7383.5,5588.0,4232.0,2486.0,TGRH88_002000
1830.5,2468.5,1590.5,6255.0,6570.5,6235.5,7959.0,TGRH88_002010
905.0,4451.5,2643.5,5621.0,5429.5,2848.0,6703.5,TGRH88_002020
3509.0,4647.0,2252.5,3394.5,4671.5,6235.5,7311.5,TGRH88_002030
192.0,1055.0,5404.5,6358.0,970.0,6235.5,5430.0,TGRH88_002040
7097.0,7689.5,1193.0,2081.0,6967.5,6235.5,8052.0,TGRH88_002050
7097.0,2014.5,5404.5,800.5,1024.5,6235.5,7835.5,TGRH88_002060
2131.5,2184.0,5404.5,5295.0,1768.5,6235.5,2217.5,TGRH88_002070
2094.5,2560.5,1073.5,3513.5,1274.0,2818.5,1387.5,TGRH88_002080
3576.5,1710.0,5404.5,2869.0,3056.5,1026.0,102.0,TGRH88_002090
2655.5,3907.0,2155.5,2252.0,5724.5,191.5,2530.5,TGRH88_002100
3094.5,4394.0,1293.5,6031.0,3099.0,1763.5,5697.5,TGRH88_002110
3325.5,7077.0,5404.5,4007.0,4228.5,2030.0,4082.0,TGRH88_002120
5322.0,7077.0,1153.5,1466.5,7516.0,3341.5,7912.5,TGRH88_002130
1941.0,7689.5,5404.5,1769.5,2597.0,678.0,223.0,TGRH88_002140
674.0,3586.0,585.5,3860.0,2043.0,1564.0,7070.5,TGRH88_002150
7097.0,3464.0,445.0,2196.5,559.0,678.0,5186.0,TGRH88_002160
7097.0,7689.5,5404.5,3344.0,7064.5,6235.5,1903.5,TGRH88_002170
175.0,364.0,1838.5,8052.0,1274.0,6235.5,5290.0,TGRH88_002180
7097.0,7689.5,5404.5,858.5,3949.0,1026.0,6247.0,TGRH88_002190
394.0,4258.0,5404.5,6277.5,2816.5,3989.5,4377.5,TGRH88_002200
4757.0,7689.5,5404.5,4667.0,1393.0,3687.0,2111.0,TGRH88_002210
2864.5,7077.0,1505.0,5219.0,3603.0,3989.5,4873.5,TGRH88_002220
964.5,6842.5,5404.5,7804.5,1100.0,6235.5,3427.5,TGRH88_002230
5230.5,6705.5,5404.5,6813.5,6580.0,6235.5,500.5,TGRH88_002240
2109.0,1636.0,5404.5,4598.5,6879.5,1515.0,7430.5,TGRH88_002250
2218.0,6204.0,759.5,684.0,4764.5,191.5,5298.0,TGRH88_002260
7097.0,3962.0,1987.0,1534.0,236.0,2432.5,1717.0,TGRH88_002270
1921.5,268.0,5404.5,1244.5,5827.0,6235.5,7457.5,TGRH88_002280
3080.0,7689.5,5404.5,2949.0,4536.0,4299.5,3901.5,TGRH88_002290
2839.0,6324.0,5404.5,6134.5,5697.5,6235.5,6603.5,TGRH88_002300
4074.0,4196.5,2598.5,3688.0,3017.0,2154.0,1613.5,TGRH88_002310
5949.0,5382.0,5404.5,7592.0,8047.0,3207.0,1870.0,TGRH88_002320
3957.5,1104.0,5404.5,5454.0,4746.0,3989.5,3408.0,TGRH88_002330
7097.0,7689.5,5404.5,2926.0,5046.0,6235.5,2098.0,TGRH88_002340
4118.0,6324.0,2058.0,874.5,4228.5,3398.0,7081.0,TGRH88_002350
3800.5,4900.5,5404.5,2643.5,7867.5,6235.5,6542.5,TGRH88_002360
5165.0,564.5,5404.5,5408.5,3752.0,6235.5,1306.0,TGRH88_002370
7097.0,7689.5,1271.5,5032.0,5555.0,6235.5,7193.0,TGRH88_002380
7097.0,2934.0,5404.5,6467.5,4545.0,6235.5,5959.5,TGRH88_002390
7097.0,2397.5,5404.5,1081.5,421.0,3989.5,2570.5,TGRH88_002400
1928.0,5043.0,5404.5,195.0,4118.5,2175.5,2522.5,TGRH88_002410
3714.0,6152.5,5404.5,5558.0,2654.0,2611.0,614.0,TGRH88_002420
696.0,503.5,5404.5,1600.0,3664.5,678.0,3208.5,TGRH88_002430
4155.0,6481.0,812.5,1882.0,7222.0,6235.5,7757.0,TGRH88_002440
4548.5,6589.0,5404.5,4207.0,7401.5,6235.5,7671.0,TGRH88_002450
5445.0,7689.5,5404.5,2267.0,7775.5,6235.5,5885.0,TGRH88_002460
7097.0,2794.0,771.0,3608.0,2138.5,6235.5,4941.0,TGRH88_002470
2969.5,7689.5,127.0,736.5,7601.5,6235.5,7916.0,TGRH88_002480
1197.5,850.5,5404.5,7161.0,4925.5,1999.5,2040.0,TGRH88_002490
1426.5,1682.5,631.0,2643.5,1169.0,6235.5,3413.0,TGRH88_002500
3495.5,4139.0,5404.5,4598.5,6921.0,6235.5,7966.5,TGRH88_002510
7097.0,557.0,5404.5,3017.5,39.0,678.0,1616.5,TGRH88_002520
3546.0,3190.0,5404.5,2111.0,6542.0,6235.5,7440.5,TGRH88_002530
7097.0,7689.5,5404.5,5237.5,6221.5,3291.0,3413.0,TGRH88_002540
703.0,4973.0,5404.5,7323.5,5175.0,6235.5,7522.0,TGRH88_002550
7097.0,6152.5,5404.5,2633.0,2107.0,6235.5,4841.0,TGRH88_002560
1254.0,2327.0,5404.5,6509.5,6099.5,6235.5,3520.5,TGRH88_002570
2548.5,3633.5,5404.5,3420.0,3333.0,6235.5,6285.5,TGRH88_002580
3638.5,252.5,5404.5,7078.0,2794.0,3392.0,1637.5,TGRH88_002590
7097.0,7689.5,2555.5,6067.0,776.0,3727.0,561.0,TGRH88_002600
7097.0,2628.5,2509.5,1224.5,3308.5,6235.5,3608.0,TGRH88_002610
2792.5,2184.0,5404.5,5125.5,3680.5,6235.5,4272.5,TGRH88_002620
2987.5,2104.0,5404.5,2548.5,7012.0,6235.5,4934.0,TGRH88_002630
3730.0,3231.0,5404.5,3893.0,3099.0,6235.5,2667.0,TGRH88_002640
842.5,2037.5,5404.5,6320.5,1176.5,6235.5,3471.0,TGRH88_002650
5651.0,274.5,5404.5,4646.5,6980.5,191.5,898.0,TGRH88_002660
7097.0,1810.5,5404.5,183.5,421.0,3989.5,3361.0,TGRH88_002670
737.5,705.5,2392.0,1423.0,2514.5,2309.5,1778.5,TGRH88_002680
2609.5,5634.0,767.0,7729.5,4354.5,1393.0,2591.5,TGRH88_002690
2603.5,6842.5,1066.5,3860.0,5162.0,678.0,7663.0,TGRH88_002700
2453.5,5564.5,5404.5,788.5,2821.0,6235.5,2232.0,TGRH88_002710
2056.0,1710.0,5404.5,4401.0,7430.0,6235.5,3461.5,TGRH88_002720
7097.0,4767.5,5404.5,11.0,3641.0,1609.5,8034.0,TGRH88_002730
4347.0,2530.5,5404.5,5198.5,807.5,6235.5,1905.5,TGRH88_002740
5995.0,4973.0,734.5,3688.0,5555.0,2130.0,6409.5,TGRH88_002750
7097.0,3685.0,2155.5,1730.5,116.0,6235.5,3449.5,TGRH88_002760
156.5,3109.5,5404.5,4833.0,1720.5,6235.5,7914.0,TGRH88_002770
1201.0,5319.5,5404.5,1633.5,1997.0,6235.5,4366.5,TGRH88_002780
2550.0,4018.5,5404.5,2242.5,1179.0,1609.5,3115.5,TGRH88_002790
1620.5,3416.5,5404.5,7352.0,5234.0,6235.5,6184.5,TGRH88_002800
2700.5,5105.5,2203.0,6358.0,5636.5,678.0,309.0,TGRH88_002810
4705.0,7689.5,172.0,4735.0,5687.5,191.5,1746.5,TGRH88_002820
1434.0,2865.0,5404.5,471.0,5290.0,6235.5,7258.5,TGRH88_002840
7097.0,7689.5,5404.5,5198.5,6269.5,3148.5,1291.5,TGRH88_002850
4024.5,4451.5,5404.5,4646.5,7886.0,191.5,1256.0,TGRH88_002940
7097.0,7689.5,2058.0,6299.5,4825.0,3498.5,3241.5,TGRH88_002950
7097.0,7689.5,5404.5,1716.0,5460.0,6235.5,3107.0,TGRH88_003010
3739.0,6100.0,5404.5,907.5,4913.5,1470.5,5610.5,TGRH88_003030
5810.0,1458.0,2321.0,7411.0,5414.0,6235.5,1594.5,TGRH88_003040
2137.5,2828.0,1472.0,1941.5,3322.5,678.0,2771.0,TGRH88_003050
4492.0,5702.0,5404.5,7183.0,5718.0,2298.5,654.5,TGRH88_003060
7097.0,5504.5,1965.0,3715.5,4094.0,6235.5,6586.0,TGRH88_003070
3245.0,1228.5,5404.5,6789.5,5314.5,6235.5,6416.5,TGRH88_003080
4141.5,2397.5,5404.5,6551.0,4328.0,678.0,242.0,TGRH88_003090
4765.5,87.0,5404.5,1377.0,5364.5,6235.5,6971.0,TGRH88_003100
4463.0,2363.0,2555.5,5178.5,1525.5,1165.5,201.0,TGRH88_003110
7097.0,7689.5,5404.5,6509.5,6402.0,6235.5,6622.0,TGRH88_003120
1039.0,1557.5,5404.5,3090.0,2979.0,2668.0,3025.5,TGRH88_003130
146.0,2363.0,5404.5,6067.0,835.0,678.0,6261.5,TGRH88_003140
7097.0,3190.0,23.0,455.5,5175.0,6235.5,7569.5,TGRH88_003150
4099.5,4515.5,5404.5,6235.0,1319.0,191.5,1291.5,TGRH88_003160
3518.0,6481.0,956.5,1716.0,7501.5,4175.5,6726.5,TGRH88_003170
7097.0,4139.0,5404.5,7753.5,146.0,2385.5,2845.0,TGRH88_003180
7097.0,5702.0,1095.5,434.5,2833.0,6235.5,6679.0,TGRH88_003190
3953.5,6589.0,280.0,3079.0,8047.0,6235.5,8100.0,TGRH88_003200
7097.0,7077.0,5404.5,2899.0,2786.5,1953.0,1627.5,TGRH88_003210
7097.0,6842.5,447.0,5650.0,5943.0,6235.5,6886.5,TGRH88_003220
4956.0,5504.5,5404.5,5441.0,4808.0,1953.0,1000.5,TGRH88_003230
1586.0,3962.0,2454.0,384.0,3775.5,6235.5,5964.5,TGRH88_003240
5936.5,1587.5,5404.5,3379.5,7516.0,6235.5,988.5,TGRH88_003250
3539.0,1533.0,5404.5,7010.0,3775.5,3989.5,1530.5,TGRH88_003260
2553.0,5634.0,5404.5,7383.5,3440.5,1763.5,1361.5,TGRH88_003270
1409.0,5247.5,5404.5,5963.0,1258.0,6235.5,1356.0,TGRH88_003280
274.0,3273.5,612.0,767.5,5933.5,6235.5,4173.0,TGRH88_003290
7097.0,7689.5,5404.5,2274.5,5282.0,6235.5,5321.0,TGRH88_003300
7097.0,7689.5,5404.5,4422.0,7867.5,6235.5,7992.5,TGRH88_003310
318.0,4076.0,64.0,5163.0,4491.5,6235.5,6852.0,TGRH88_003320
7097.0,4647.0,1410.0,1257.0,760.0,3775.0,7164.0,TGRH88_003330
7097.0,3907.0,5404.5,3783.0,1404.0,4232.0,4115.0,TGRH88_003340
7097.0,468.0,5404.5,7910.5,494.5,6235.5,6808.0,TGRH88_003350
701.5,1935.5,1873.5,4877.0,1062.0,678.0,1643.0,TGRH88_003360
2271.0,5171.0,5404.5,7592.0,6070.5,1165.5,2000.5,TGRH88_003370
4797.0,5759.5,5404.5,5524.0,7207.5,3008.5,520.0,TGRH88_003380
453.5,4139.0,5404.5,1051.0,4237.5,3080.0,2793.5,TGRH88_003390
4710.5,3743.0,5404.5,7132.0,4144.5,3775.0,2067.0,TGRH88_003400
5657.5,6260.5,2392.0,2877.0,3099.0,191.5,617.0,TGRH88_003410
1065.0,1458.0,2509.5,7132.0,4101.5,191.5,2989.0,TGRH88_003420
2837.0,1753.0,5404.5,5841.5,2152.5,3775.0,2530.5,TGRH88_003430
7097.0,6152.5,2321.0,1301.5,2138.5,6235.5,6857.0,TGRH88_003440
